LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MODIFIED_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
2,3,2,2,0.18,2,1,8,1,11,16.4,7.07,820.29,29,45.57,116,1,8,0.13,11,18,7,9,16,0,11,0
7,5,5,3,0.25,3,1,15,1,12,30.46,3.75,428.33,30,23.8,114.22,1,14,0.11,10,20,8,6,28,0,12,0
5,1,1,1,0.06,1,1,3,1,18,28.84,13.33,5127.24,101,284.85,384.54,0,4,0.04,20,81,6,8,28,14.29,18,0
0,3,0,2,0.29,1,0.5,7,1,7,12.05,11.9,1706.44,40,94.8,143.4,1,7,0.22,17,23,5,7,9,0,7,0
1,1,1,1,0.08,1,1,2,1,11,22.1,14.57,4692.33,65,260.69,322.02,0,3,0.05,24,41,14,17,21,35.29,12,0
1,3,1,2,0.5,2,1,5,1,4,14.8,8.56,1083.64,28,60.2,126.66,1,5,0.25,11,17,9,14,8,0,4,0
4,5,3,3,0.21,2,0.67,12,1,14,29.04,10.58,3249.15,67,180.51,307.19,2,11,0.15,25,42,13,11,20,0,14,0
0,1,0,1,1,1,1,1,1,0,5.8,2,23.22,5,1.29,11.61,0,2,1,1,4,1,4,1,0,0,0
1,7,3,4,0.5,3,0.75,16,1,8,20,10.21,2087.05,49,115.95,204.33,0,14,0.27,13,36,7,11,15,0,8,0
0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,3,0.08,0,0,0,0,12,0,0,0
1,7,2,4,0.33,3,0.75,15,1,12,14.9,11.69,2035.55,41,113.09,174.17,0,13,0.25,17,24,8,11,16,0,12,0
1,19,0,10,0.21,1,0.1,40,8,31,29.53,47.36,66226,243,3679.22,1398.44,0,32,0.2,102,141,28,26,50,35.42,48,0
1,1,1,1,0.1,1,1,2,1,10,17.14,5.83,583.33,25,32.4,100,0,3,0.08,7,18,6,10,13,0,10,0
7,7,4,5,0.14,5,1,16,1,36,30.33,17.78,9587.04,106,532.61,539.27,1,13,0.1,40,66,18,16,48,7.69,36,0
11,7,6,5,0.17,5,1,19,1,29,46.18,10.67,5260.7,92,292.26,492.89,1,16,0.09,37,55,26,15,54,29.27,30,0
0,3,1,2,0.29,1,0.5,6,1,7,16.92,4.5,342.66,20,19.04,76.15,0,6,0.22,5,15,5,9,9,0,7,0
9,7,3,4,0.33,4,1,14,1,9,14.8,10,1480,37,82.22,148,3,12,0.14,12,25,6,10,29,50,12,0
1,11,4,6,0.5,5,0.83,26,1,12,22.66,14.44,4722.37,77,262.35,327.09,0,22,0.32,21,56,8,11,19,0,12,0
0,3,0,2,1,1,0.5,6,1,0,9.51,4,152.16,12,8.45,38.04,0,6,2,4,8,3,6,1,0,0,0
0,5,1,3,1,2,0.67,10,3,0,0,0,0,0,0,0,0,9,0.33,0,0,0,0,9,0,0,0
1,11,1,6,0.3,2,0.33,17,6,19,10.03,35.21,12432.13,77,690.67,353.04,0,13,0.26,29,48,7,17,23,9.52,20,0
4,5,1,3,0.33,1,0.33,8,1,9,10.53,27,7675.23,62,426.4,284.27,3,7,0.2,18,44,6,18,15,0,9,0
14,5,0,3,0.06,1,0.33,9,1,43,95.83,13.45,17344.68,222,963.59,1289.23,2,8,0.05,89,133,43,13,66,14,47,0
2,1,0,1,0.17,1,1,1,1,6,11.29,9,914.21,26,50.79,101.58,0,2,0.1,9,17,5,10,10,0,6,0
7,17,6,9,0.39,7,0.78,38,7,16,27.48,21.35,12519.46,122,695.53,586.5,0,31,0.25,37,85,13,15,36,30.43,23,0
16,11,11,6,0.25,3,0.5,32,5,22,51.72,11.85,7268.38,111,403.8,613.12,3,28,0.14,49,62,31,15,42,8.33,24,0
3,1,1,1,0.5,1,1,2,1,2,5.33,1.5,12,4,0.67,8,0,3,0.13,1,3,1,3,8,33.33,2,0
1,107,7,54,0.72,24,0.44,219,25,75,46.04,88.2,358147.97,656,19897.11,4060.52,0,167,0.7,239,417,42,31,77,0,75,0
27,3,1,2,0.06,2,1,32,1,33,73.68,23.6,41036.32,339,2279.8,1738.83,1,32,0.02,118,221,25,10,86,42.11,34,1
3,5,2,3,0.33,3,1,9,3,9,16.47,9.33,1434.82,35,79.71,153.73,2,8,0.21,14,21,9,12,14,0,9,0
1,5,2,3,0.43,2,0.67,11,1,7,19.33,8.57,1420.02,39,78.89,165.67,0,10,0.21,10,29,7,12,14,0,7,0
8,3,7,2,0.15,2,1,11,1,13,35.04,3.85,519.3,33,28.85,134.89,1,11,0.06,11,22,10,7,31,38.1,13,1
10,1,1,1,0.33,1,1,4,1,2,12.06,1.5,27.14,7,1.51,18.09,0,5,0.06,3,4,3,3,18,33.33,3,0
1,3,2,2,0.29,2,1,7,1,7,15.92,6.29,629.06,24,34.95,100.08,0,7,0.2,8,16,7,11,10,12.5,7,0
1,5,2,3,0.5,3,1,8,3,6,19.38,5.06,496.63,24,27.59,98.1,0,7,0.3,9,15,8,9,10,0,6,0
0,1,0,1,0.5,1,1,1,1,2,12.06,1.5,27.14,7,1.51,18.09,0,2,0.25,3,4,3,3,4,0,2,0
0,3,1,2,1,1,0.5,7,1,0,0,0,0,0,0,0,0,7,0.13,0,0,0,0,15,0,0,0
0,3,1,2,1,1,0.5,6,1,0,0,0,0,0,0,0,0,6,0.29,0,0,0,0,7,0,0,0
2,1,1,1,0.5,1,1,2,1,2,7.75,2,31.02,6,1.72,15.51,0,3,0.17,2,4,2,4,6,0,2,0
0,1,1,1,0.33,1,1,2,1,3,9.51,4,152.16,12,8.45,38.04,0,3,0.2,4,8,3,6,5,0,3,0
0,3,0,2,0.29,1,0.5,6,1,5,12.44,9,1008,28,56,112,1,6,0.18,14,14,7,9,11,28.57,7,0
3,7,2,4,0.18,4,1,15,1,2,21.59,13.59,3988.08,64,221.56,293.44,3,13,0.13,23,41,11,13,32,92.59,22,1
14,25,9,13,0.21,6,0.46,54,5,52,27.67,49.46,67672.14,245,3759.56,1368.32,12,43,0.14,91,154,23,25,95,34.18,63,1
0,1,1,1,0.5,1,1,2,1,2,5.89,7,288.46,13,16.03,41.21,0,3,0.25,4,9,2,7,4,0,2,0
5,3,3,2,0.12,2,1,9,1,17,21.41,11.11,2643.15,56,146.84,237.88,1,9,0.08,20,36,9,10,24,0,17,0
37,48,0,27,0.23,1,0.04,93,13,115,74.42,39.83,118062.58,482,6559.03,2964.18,0,68,0.13,156,326,47,24,203,29.88,116,0
2,1,0,1,0.07,1,1,1,1,14,20.1,20,8039.07,121,446.61,401.95,0,2,0.05,60,61,6,4,20,6.67,14,0
7,5,1,3,0.27,2,0.67,9,1,9,10.83,19.25,4012.87,51,222.94,208.46,2,8,0.14,21,30,6,11,22,30.77,11,0
4,3,1,2,0.2,2,1,7,1,8,13.65,11,1651.29,36,91.74,150.12,1,7,0.12,14,22,7,11,17,27.27,10,0
25,15,14,8,0.1,6,0.75,47,4,73,76.97,31.91,78348.5,398,4352.69,2455.63,7,41,0.07,178,220,53,19,115,16.09,82,1
4,1,0,1,0.17,1,1,1,1,6,16.85,8.57,1237.97,34,68.78,144.43,0,2,0.07,10,24,7,12,14,25,6,0
3,7,2,4,0.33,3,0.75,12,4,10,21,15,4723.94,67,262.44,314.93,3,10,0.18,30,37,13,13,22,33.33,12,0
5,3,1,2,0.13,1,0.5,6,1,16,24.76,11,2995.56,62,166.42,272.32,1,6,0.08,20,42,10,11,25,11.11,16,0
21,11,3,6,0.12,2,0.33,30,1,51,43.73,22.81,22757.22,175,1264.29,997.58,5,26,0.05,73,102,32,20,132,53.21,51,0
5,1,0,1,0.17,1,1,1,1,6,21.49,6.6,936.12,41,52.01,141.84,0,2,0.08,11,30,5,6,13,0,6,0
0,5,2,3,1,2,0.67,11,3,0,0,0,0,0,0,0,0,10,0.3,0,0,0,0,10,0,0,0
4,1,2,1,0.25,1,1,3,1,4,19.03,4.08,317.31,21,17.63,77.71,0,4,0.08,7,14,6,7,12,20,4,0
2,1,1,1,0.2,1,1,2,1,4,15.86,3.5,194.27,15,10.79,55.51,0,3,0.11,6,9,6,7,9,20,5,0
29,7,1,4,0.1,4,1,42,1,31,90.42,23.23,48777.92,392,2709.88,2100.16,3,40,0.04,144,248,31,10,102,56.34,41,1
1,1,1,1,0.2,1,1,2,1,5,14.98,6,539.15,23,29.95,89.86,0,3,0.13,6,17,5,10,8,0,5,0
0,13,0,7,0.7,1,0.14,31,1,9,13.5,17,3900.44,64,216.69,229.44,6,26,0.5,34,30,6,6,14,25,10,0
2,17,2,9,0.47,4,0.44,32,6,19,29.58,26.25,20382.96,144,1132.39,776.49,0,25,0.41,70,74,24,18,22,0,19,0
1,1,0,1,0.5,1,1,1,1,2,5.8,2,23.22,5,1.29,11.61,0,2,0.2,1,4,1,4,5,0,2,0
2,1,1,1,0.5,1,1,2,1,2,5.33,1.5,12,4,0.67,8,0,3,0.14,1,3,1,3,7,33.33,2,0
10,15,2,8,0.32,4,0.5,26,1,22,15.63,41.67,27127.69,142,1507.09,651.06,7,20,0.17,50,92,9,15,46,35.29,25,0
1,15,1,9,0.31,4,0.44,35,4,24,31.55,35.27,39260.76,190,2181.15,1113.02,0,28,0.25,81,109,31,27,36,29.41,29,0
2,1,2,1,0.2,1,1,3,1,3,11.59,4.38,221.89,16,12.33,50.72,0,4,0.11,7,9,4,5,9,40,5,0
6,3,0,2,0.22,1,0.5,6,1,9,14.18,10,1417.77,34,78.77,141.78,1,6,0.1,10,24,6,12,20,25,9,0
0,3,1,2,0.33,2,1,5,1,6,18.96,7.64,1105.39,32,61.41,144.75,1,5,0.25,14,18,11,12,8,0,6,0
1,3,0,2,0.4,1,0.5,5,1,5,13.33,7.5,750,25,41.67,100,0,5,0.29,9,16,6,10,7,0,5,0
5,1,1,1,0.1,1,1,2,1,10,19.62,8.36,1370.57,41,76.14,164,0,3,0.06,13,28,7,9,17,0,10,0
0,3,2,2,1,2,1,7,1,0,0,0,0,0,0,0,0,7,0.12,0,0,0,0,17,0,0,0
2,7,2,4,0.36,1,0.25,15,1,11,14.12,15,3176.62,49,176.48,211.77,0,13,0.27,20,29,8,12,15,0,11,0
7,1,2,1,0.17,1,1,5,1,6,24.59,4.05,405.89,27,22.55,99.91,0,6,0.05,13,14,8,5,22,53.85,6,0
1,3,0,2,0.29,1,0.5,6,1,7,12.33,7.2,639.44,24,35.52,88.81,1,6,0.2,9,15,5,8,10,0,7,0
1,5,1,3,0.43,2,0.67,10,3,7,11.71,9.43,1041.34,26,57.85,110.45,0,9,0.3,11,15,7,12,10,12.5,7,0
2,1,3,1,0.07,1,1,10,1,14,41.04,6.42,1689.97,62,93.89,263.37,0,11,0.04,22,40,12,7,24,30,14,0
31,23,15,12,0.14,10,0.83,61,4,74,71.39,24.46,42701.09,291,2372.28,1746,11,51,0.09,125,166,46,18,135,27.45,85,1
4,3,2,2,0.22,2,1,6,1,9,16.18,6.43,668.57,26,37.14,104,1,6,0.13,10,16,7,9,16,0,9,0
3,3,0,2,0.15,1,0.5,6,1,13,12.62,8.8,976.92,30,54.27,111.01,1,6,0.11,11,19,5,8,19,0,13,0
3,1,1,1,0.14,1,1,2,1,7,22.72,7.56,1297.09,42,72.06,171.67,0,3,0.06,17,25,9,8,16,0,7,0
1,7,0,4,0.16,1,0.25,14,1,25,32.68,28,25622.15,177,1423.45,915.08,0,12,0.14,56,121,18,18,28,0,25,0
1,5,2,3,0.6,3,1,9,1,5,17.03,4,272.46,19,15.14,68.11,0,8,0.38,8,11,6,6,8,0,5,0
9,11,3,6,0.13,2,0.33,25,1,31,33.43,24.17,19526.57,148,1084.81,808,5,21,0.09,58,90,24,20,65,42.59,47,1
15,3,1,2,0.05,2,1,7,1,31,36.01,29.66,31674.07,205,1759.67,1067.94,1,7,0.03,87,118,22,15,62,31.11,37,0
20,7,6,5,0.13,5,1,21,1,29,43.45,17.02,12581.62,131,698.98,739.35,1,18,0.07,47,84,29,21,70,39.58,40,1
7,29,3,15,0.47,5,0.33,63,9,25,32.32,33.06,35331.2,184,1962.84,1068.55,0,50,0.27,82,102,31,25,55,45.65,32,0
7,3,0,2,0.13,1,0.5,6,1,14,20.48,14.77,4470.34,66,248.35,302.61,1,6,0.07,25,41,11,13,30,6.67,15,1
12,7,4,4,0.09,3,0.75,18,1,20,41.64,16.78,11718.04,141,651,698.54,3,16,0.06,61,80,20,11,67,62.26,45,1
1,3,1,2,0.17,1,0.5,7,1,12,18.37,25.65,12086.9,97,671.49,471.22,1,7,0.13,27,70,10,19,16,0,12,0
10,25,4,13,0.33,6,0.46,56,1,40,21.29,46.67,46370.6,188,2576.14,993.66,12,45,0.23,80,108,18,21,57,11.11,40,0
2,1,3,1,0.07,1,1,10,1,14,41.04,6.42,1689.97,62,93.89,263.37,0,11,0.04,22,40,12,7,24,30,14,0
13,1,5,1,0.08,1,1,6,1,12,32.22,14.76,7021.85,92,390.1,475.63,0,7,0.02,33,59,19,17,41,53.85,13,0
1,3,1,2,0.29,2,1,6,1,7,13.87,8.25,944.2,28,52.46,114.45,0,6,0.2,9,19,6,11,10,0,7,0
3,3,1,2,0.33,2,1,5,1,6,11.62,3,104.61,11,5.81,34.87,1,5,0.18,3,8,3,6,11,0,6,0
1,3,1,2,0.4,2,1,7,1,5,11.52,8.33,800,24,44.44,96,1,7,0.25,10,14,6,10,8,0,5,0
4,1,1,1,0.14,1,1,2,1,7,18.28,7.5,1027.99,36,57.11,137.06,0,3,0.07,15,21,7,7,14,12.5,7,0
5,7,0,4,0.44,1,0.25,11,1,5,7.21,20.4,3001.83,36,166.77,147.15,3,9,0.25,17,19,5,12,16,44.44,9,0
1,11,2,6,0.6,4,0.67,18,5,9,12.07,14.08,2393,40,132.94,169.92,5,14,0.46,13,27,6,13,13,10,10,0
4,1,2,1,0.17,1,1,5,1,6,24.59,4.05,405.89,27,22.55,99.91,0,6,0.06,13,14,8,5,18,50,6,0
6,35,8,18,0.31,11,0.61,77,12,59,41.64,39.47,64869.18,283,3603.84,1643.48,0,61,0.16,122,161,34,22,113,6.35,59,0
23,19,5,10,0.21,5,0.5,40,1,41,47.86,19.04,17351.18,169,963.95,911.3,9,32,0.11,56,113,25,17,89,35.94,48,0
0,13,3,7,1,4,0.57,29,1,0,0,0,0,0,0,0,0,24,0.54,0,0,0,0,13,0,0,0
3,1,1,1,0.25,1,1,3,1,4,17.28,7.33,929.22,31,51.62,126.71,0,4,0.04,8,23,6,11,23,0,4,0
5,5,3,3,0.3,3,1,13,1,10,18.13,7.5,1020,34,56.67,136,0,12,0.18,15,19,8,8,17,0,10,0
1,3,2,2,0.17,2,1,7,1,12,36.8,7.33,1979.11,55,109.95,269.88,1,7,0.13,22,33,18,12,15,0,12,0
1,1,1,1,0.13,1,1,2,1,8,12,6.67,533.33,20,29.63,80,0,3,0.1,8,12,6,10,10,0,8,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
10,5,1,3,0.09,3,1,13,1,31,32.42,21.5,14986.93,145,832.61,697.07,2,12,0.06,43,102,14,14,49,16.21,33,0
48,5,7,3,0.06,2,0.67,14,3,50,79.97,19.96,31849.29,267,1769.4,1595.93,2,13,0.02,108,159,46,17,128,35.9,52,0
0,11,0,6,1,1,0.17,18,5,0,0,0,0,0,0,0,0,14,0.6,0,0,0,0,10,0,0,0
14,13,3,7,0.17,4,0.57,28,1,39,22.53,28.41,18190.55,122,1010.59,640.25,6,23,0.1,46,76,17,21,70,27.78,42,1
7,1,2,1,0.17,1,1,3,1,6,25.71,4.67,560,30,31.11,120,0,4,0.05,12,18,9,7,20,45.45,6,0
13,3,1,2,0.07,1,0.5,7,1,27,32.9,19,11878.01,133,659.89,625.16,1,7,0.04,38,95,13,13,48,18.18,27,0
5,3,2,2,0.25,2,1,8,1,8,16.19,9.44,1444.3,36,80.24,152.93,1,8,0.12,17,19,9,10,17,0,8,0
0,27,1,1,1,1,1,56,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,802,0,0,0
21,7,13,4,0.12,4,1,26,1,28,81.88,7.97,5199.37,121,288.85,652.47,3,24,0.06,51,70,32,10,65,33.33,33,1
0,3,1,2,0.5,2,1,5,1,4,10.58,5.4,308.4,15,17.13,57.11,2,5,0.33,6,9,5,9,6,0,4,0
3,1,0,1,0.33,1,1,1,1,3,9,3,81,9,4.5,27,0,2,0.13,2,7,2,6,8,0,3,0
1,3,1,2,0.22,2,1,7,1,9,18,6,648,27,36,108,0,7,0.18,12,15,8,8,11,0,9,0
1,1,0,1,0.13,1,1,1,1,8,8.77,10.13,899.21,24,49.96,88.81,0,2,0.09,9,15,4,9,11,0,8,0
11,1,8,1,0.06,1,1,16,1,16,63.53,5.67,2040,72,113.33,360,0,17,0.02,34,38,24,8,47,52.94,16,0
0,1,1,1,0.5,1,1,3,1,2,16.74,7,820.45,30,45.58,117.21,0,4,0.2,7,23,5,10,5,0,2,0
7,1,2,1,0.14,1,1,3,1,7,14.47,10,1446.79,38,80.38,144.68,0,4,0.06,8,30,4,10,18,22.22,7,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
33,29,7,15,0.25,8,0.53,67,3,51,34.92,44.83,70169.94,272,3898.33,1565.33,14,54,0.13,104,168,29,25,115,36.25,60,0
4,5,2,3,0.27,2,0.67,9,3,11,19.34,11.67,2632.25,48,146.24,225.62,2,8,0.18,20,28,12,14,17,8.33,11,0
11,3,3,2,0.09,1,0.5,8,1,16,38.22,12.32,5796.41,95,322.02,470.65,1,8,0.05,39,56,19,12,38,36,22,0
17,11,3,6,0.17,4,0.67,21,5,23,24.52,21.38,11200.69,103,622.26,524.01,5,17,0.1,38,65,16,18,61,45.24,36,1
8,3,4,2,0.2,2,1,8,1,10,40.24,4.43,790.81,40,43.93,178.38,1,8,0.08,19,21,15,7,26,23.08,10,0
1,7,1,4,0.5,2,0.5,13,3,8,13.09,15.56,3166.49,45,175.92,203.56,0,11,0.36,20,25,9,14,11,0,8,0
7,3,0,2,0.17,1,0.5,6,1,6,26.79,7.88,1661.41,54,92.3,210.97,1,6,0.06,18,36,8,7,33,71.43,12,0
21,10,1,9,0.2,2,0.22,21,1,44,32.63,24.1,18942.67,144,1052.37,786.16,0,14,0.12,44,100,21,23,75,15.38,45,0
1,17,5,9,0.45,8,0.89,41,1,20,31.13,20.58,13190.87,138,732.83,640.85,0,34,0.33,38,100,12,13,27,0,20,0
17,23,6,1,0.01,1,1,58,1,94,41.9,39.36,64918.77,277,3606.6,1649.31,8,46,0.01,109,168,36,26,125,11.32,96,0
1,5,2,3,0.5,2,0.67,11,1,6,18.13,7.5,1020,34,56.67,136,0,10,0.23,9,25,6,10,13,0,6,0
0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,3,0.02,0,0,0,0,62,0,0,0
1,7,2,4,0.5,3,0.75,16,1,8,17.15,11.92,2435.45,50,135.3,204.37,0,14,0.27,13,37,6,11,15,0,8,0
3,3,1,2,0.25,2,1,5,1,8,16.23,4.57,339.34,19,18.85,74.23,1,5,0.15,8,11,7,8,13,0,8,0
0,1,1,1,0.25,1,1,2,1,4,10.87,3.5,133.19,11,7.4,38.05,0,3,0.2,4,7,4,7,5,0,4,0
1,5,1,3,0.19,2,0.67,8,3,16,18.11,10.83,2125.66,44,118.09,196.21,2,7,0.16,15,29,9,13,19,0,16,0
11,5,4,3,0.1,2,0.67,20,1,25,27.85,17.97,8994.33,102,499.69,500.5,0,19,0.05,47,55,17,13,60,46.81,31,0
0,3,0,2,1,1,0.5,6,1,0,9.51,4,152.16,12,8.45,38.04,0,6,2,4,8,3,6,1,0,0,0
0,5,1,3,0.3,2,0.67,9,1,9,18.87,7.8,1147.86,33,63.77,147.16,2,8,0.21,13,20,10,12,14,25,10,0
3,1,3,1,0.09,1,1,4,1,11,24.44,7.73,1459.45,43,81.08,188.87,0,5,0.03,17,26,11,10,33,8.33,11,0
1,13,3,7,0.47,6,0.86,31,1,15,21.28,19.5,8090.65,96,449.48,414.91,0,26,0.32,26,70,8,12,22,0,15,0
7,1,4,1,0.07,1,1,5,1,12,38.33,5.54,1177.03,50,65.39,212.4,0,6,0.03,19,31,12,7,38,58.62,14,0
1,7,0,4,0.44,1,0.25,11,3,7,11.77,13.81,2245.01,35,124.72,162.53,3,9,0.33,13,22,8,17,12,22.22,9,0
9,9,1,5,0.42,2,0.4,17,1,9,16.62,25.33,10668.04,85,592.67,421.11,0,14,0.19,32,53,12,19,26,40,12,0
0,9,1,5,1,5,1,14,5,0,0,0,0,0,0,0,0,11,0.36,0,0,0,0,14,0,0,0
1,1,0,1,0.07,1,1,1,1,15,32.8,9.38,2882.46,70,160.14,307.46,0,2,0.06,25,45,12,9,17,0,15,0
1,5,0,3,0.3,1,0.33,12,1,10,19.9,8.8,1541.2,42,85.62,175.14,2,11,0.18,22,20,10,8,17,9.09,10,0
15,1,7,1,0.11,1,1,8,1,9,36.46,3,328.18,28,18.23,109.39,0,9,0.03,9,19,9,6,32,40,9,0
1,1,0,1,0.5,1,1,1,1,2,5.33,1.5,12,4,0.67,8,0,2,0.2,1,3,1,3,5,0,2,0
0,1,1,1,0.2,1,1,2,1,5,12.18,3,109.62,11,6.09,36.54,0,3,0.17,4,7,4,6,6,0,5,0
0,3,0,2,1,1,0.5,6,1,0,0,0,0,0,0,0,0,6,0.02,0,0,0,0,84,0,0,0
1,15,6,8,0.44,7,0.88,36,1,18,34.01,17,9828.62,123,546.03,578.15,0,30,0.32,34,89,13,13,25,0,18,0
0,19,0,5,1,1,0.2,37,4,0,0,0,0,0,0,0,0,29,0.04,0,0,0,0,135,0,0,0
11,9,0,5,0.23,1,0.2,18,1,22,17.69,33.08,19354.95,116,1075.28,585.15,4,15,0.11,43,73,13,20,44,18.52,22,0
3,1,1,1,0.25,1,1,2,1,4,11.23,2,44.92,8,2.5,22.46,0,3,0.11,3,5,3,4,9,0,4,0
1,5,2,3,0.5,2,0.67,11,1,6,17.3,4.2,305.12,21,16.95,72.65,0,10,0.38,7,14,5,6,8,0,6,0
9,11,5,6,0.16,3,0.5,27,3,37,32.64,23.38,17851.06,139,991.73,763.37,5,23,0.11,64,75,26,19,53,11.9,37,0
8,3,0,2,0.13,1,0.5,7,1,15,20.68,12.5,3231.69,62,179.54,258.54,1,7,0.06,25,37,9,9,33,34.78,16,1
18,7,1,4,0.17,2,0.5,12,3,19,26.4,21.18,11839.59,109,657.76,559.09,3,10,0.06,40,69,17,18,69,62,23,0
1,3,0,2,0.29,1,0.5,6,1,7,8.9,7,435.89,18,24.22,62.27,0,6,0.22,8,10,4,7,9,0,7,0
3,5,1,3,0.27,2,0.67,9,1,7,20.85,5,521.24,25,28.96,104.25,2,8,0.19,10,15,9,9,16,36.36,11,1
3,3,0,2,0.33,1,0.5,6,1,6,8.86,6,318.91,16,17.72,53.15,1,6,0.18,8,8,4,6,11,0,6,0
3,19,12,10,0.25,8,0.8,62,3,40,45.51,39.03,69340.63,287,3852.26,1776.48,0,54,0.2,133,154,46,27,49,11.11,40,0
16,3,14,2,0.1,2,1,19,1,9,57.37,6.72,2590.56,74,143.92,385.5,1,19,0.04,28,46,25,12,51,72.73,21,1
3,7,3,4,0.5,3,0.75,16,1,8,20,10.21,2087.05,49,115.95,204.33,3,14,0.24,13,36,7,11,17,0,8,0
0,11,2,6,1,2,0.33,22,6,0,0,0,0,0,0,0,0,18,0.43,0,0,0,0,14,0,0,0
5,1,1,1,0.11,1,1,2,1,7,19.64,5.5,594,27,33,108,0,3,0.05,11,16,8,8,19,22.22,9,0
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0
1,9,2,5,0.5,4,0.8,21,1,10,17.51,14.17,3513.33,62,195.19,248,0,18,0.29,17,45,6,10,17,0,10,0
5,1,1,1,0.17,1,1,2,1,6,16.3,4.08,271.98,18,15.11,66.61,0,3,0.07,7,11,6,7,14,14.29,6,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
