LOC_BLANK,BRANCH_COUNT,CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
5,7,10,4,13,26,38.77,13.2,6756.06,99,375.34,511.82,5,11,33,66,20,16,38,18.75,26,0
6,5,8,4,14,22,24.31,14.06,4807.12,69,267.06,341.84,4,13,30,39,16,15,33,15.38,26,0
15,5,8,4,10,12,28.99,18.12,9514.39,106,528.58,525.14,4,9,44,62,17,14,44,57.14,19,0
51,35,62,28,75,107,51.85,64.92,218524.86,516,12140.27,3366.16,31,59,193,323,55,37,241,43.39,116,1
74,23,42,20,64,63,85.71,38.23,125251.55,487,6958.42,3276.5,21,54,203,284,77,29,186,43.24,93,0
46,19,36,18,48,40,83.37,31.3,81653.73,399,4536.32,2609.12,18,40,153,246,66,27,153,62.26,75,0
15,11,20,10,23,28,30.61,23.1,16332.07,128,907.34,707.02,10,19,55,73,25,21,75,46.15,33,0
3,3,4,2,8,19,24.71,10.58,2764.2,57,153.57,261.33,2,8,25,32,13,11,23,0,19,0
10,13,24,12,29,39,29.5,36.25,38771.24,185,2153.96,1069.55,12,24,65,120,26,29,67,30.36,40,0
0,5,8,4,12,21,36.48,10.43,3969.82,72,220.55,380.55,4,11,27,45,22,17,22,0,21,0
26,17,28,12,39,62,97.49,20.91,42621.97,314,2367.89,2038.44,14,32,115,199,66,24,126,37.37,67,0
3,3,8,4,5,9,24.7,7.22,1288.28,40,71.57,178.38,4,5,10,30,9,13,16,25,11,0
4,7,12,6,25,19,40.01,18.29,13377.17,134,743.18,731.56,6,23,64,70,28,16,27,13.64,22,0
6,31,54,24,61,72,86.16,18.26,28729.02,255,1596.06,1573.33,28,47,83,172,50,22,99,21.74,73,0
15,7,12,6,17,31,38.55,21.52,17846.19,141,991.46,829.45,6,15,51,90,32,27,67,39.22,32,1
2,3,4,2,6,9,11.86,4.38,227.03,15,12.61,51.89,2,6,5,10,4,7,9,47.06,9,0
42,11,20,10,30,32,53.31,12.89,8852.8,123,491.82,686.95,10,26,47,76,31,17,124,60.49,37,0
4,35,64,30,80,91,195.05,21.41,89412.4,591,4967.36,4176.06,32,64,218,373,112,22,118,19.47,95,1
84,37,66,32,82,101,75.03,66,326814.89,685,18156.38,4951.74,33,65,264,421,100,50,306,54.3,145,0
20,11,18,8,22,27,53.81,14.9,11951.03,140,663.95,801.91,9,18,42,98,31,22,68,42.55,31,0
22,23,36,18,59,64,39.47,43.33,74124.42,283,4118.02,1710.56,18,48,104,179,36,30,91,5.88,67,0
77,33,62,30,87,75,88.15,36.04,114516.56,465,6362.03,3177.29,31,72,193,272,83,31,201,34.78,100,0
2,15,24,10,24,41,75.22,14.8,16481.41,187,915.63,1113.43,12,18,67,120,43,19,54,19.61,42,0
19,7,12,6,15,22,28.43,13.42,5120.93,75,284.5,381.56,6,13,34,41,19,15,57,40.54,27,0
16,13,24,12,31,59,95.6,31.4,94278.09,449,5237.67,3002.24,12,26,186,263,77,26,81,7.81,59,0
9,3,4,2,6,15,27.05,14.25,5493.37,74,305.19,385.5,2,6,27,47,18,19,32,31.82,15,1
19,5,8,4,14,25,48.49,14.11,9649.29,120,536.07,684.05,4,13,49,71,33,19,70,41.86,27,0
12,5,8,4,12,19,45.57,9.64,4237.49,85,235.42,439.44,4,11,27,58,21,15,56,55.81,21,1
19,13,20,8,24,28,55.58,14.56,11789.43,142,654.97,809.46,10,19,43,99,31,21,77,44,32,0
6,3,4,2,8,10,16.21,10.56,1809.36,39,100.52,171.3,2,8,13,26,8,13,36,65.51,14,0
33,23,44,22,60,65,79.18,42.02,139798.54,541,7766.59,3327.01,22,50,230,311,52,19,199,60.61,70,0
16,9,12,4,21,34,41.24,20.76,17773.08,155,987.39,856.15,6,18,59,96,27,19,90,53.42,45,0
36,23,40,18,48,45,68.78,26.32,47644.35,288,2646.91,1810.2,20,38,94,194,50,28,143,52.63,66,0
9,7,12,6,14,16,22.84,25.89,15315.78,109,850.88,591.46,6,12,41,68,19,24,42,50,22,0
12,7,12,6,19,22,30.25,10.71,3467.15,66,192.62,323.85,6,17,28,38,17,13,36,4.35,23,0
6,3,4,2,6,10,21.05,9.8,2021.97,45,112.33,206.32,2,6,14,31,10,14,26,47.37,15,0
67,29,56,28,76,92,46.37,57,150670.96,466,8370.61,2643.35,28,63,192,274,32,19,228,42.5,119,0
2,3,4,2,5,10,6.92,8,442.81,16,24.6,55.35,2,5,6,10,3,8,13,0,10,0
16,29,54,26,76,121,164.09,23.26,88801.93,537,4933.44,3817.28,27,63,221,316,114,24,170,20.92,124,1
62,7,12,6,15,92,234.02,26.64,166113.93,822,9228.55,6234.84,6,13,373,449,168,24,215,36.55,99,1
4,5,8,4,12,14,16.78,11.2,2105.41,41,116.97,187.98,4,11,16,25,10,14,26,33.33,14,0
5,3,4,2,7,16,21.16,9.1,1752.37,42,97.35,192.57,2,7,13,29,10,14,35,44.83,16,0
12,3,4,2,6,32,68.36,18.78,24116.87,214,1339.83,1284,2,6,96,118,46,18,54,21.95,33,0
16,25,42,18,48,62,84.92,18.79,29993.03,265,1666.28,1595.93,23,37,91,174,46,19,92,17.33,67,0
12,9,16,8,22,38,54.44,19.25,20172.82,176,1120.71,1047.94,8,19,70,106,40,22,73,26.92,40,0
23,9,16,8,23,24,43.1,15.2,9958,120,553.22,655.13,8,20,40,80,25,19,71,48.94,27,0
1,16,8,4,36,49,35.91,21.53,16649.11,132,924.95,773.25,4,25,53,79,32,26,52,2,50,0
39,23,40,18,49,68,52.05,21.71,24543.69,187,1363.54,1130.3,20,39,76,111,42,24,177,47.69,72,0
40,25,46,22,69,65,83.84,41.66,145477.36,514,8082.08,3492.33,23,58,215,299,80,31,155,42.98,95,0
14,5,8,4,13,19,35.6,10.11,3640,72,202.22,360,4,12,26,46,18,14,44,34.48,20,0
31,19,34,16,41,52,47.49,47.96,109246.59,350,6069.25,2277.73,17,33,140,210,54,37,121,41.57,64,0
42,141,238,106,303,411,293.68,43.41,553518.63,1500,30751.03,12749.77,119,232,568,932,314,48,555,48.3,456,1
7,3,4,2,6,15,37.54,7.6,2168.23,60,120.46,285.29,2,6,19,41,15,12,23,0,15,0
27,9,16,8,18,29,52.03,12.33,7914.68,111,439.7,641.73,8,15,37,74,33,22,83,47.27,33,1
15,11,20,10,30,36,46.84,21.46,21576.47,182,1198.69,1005.29,10,26,61,121,27,19,83,46.27,45,0
7,3,4,2,7,12,22.78,2.33,124.02,16,6.89,53.15,2,7,7,9,6,4,29,42.86,12,0
8,19,32,14,40,29,31.33,20.43,13084.38,118,726.91,640.3,16,32,47,71,23,20,39,3.33,30,0
31,11,20,10,26,33,53.63,18.46,18269.63,172,1014.98,989.84,10,22,68,104,35,19,102,52.86,40,1
15,7,12,6,25,41,61.36,23.68,34405.27,247,1911.4,1453.01,6,23,117,130,42,17,78,33.87,41,0
4,3,4,2,6,14,16.29,9.29,1404.34,37,78.02,151.24,2,6,13,24,7,10,22,17.65,17,0
0,5,8,4,10,13,33.1,7.26,1746.71,49,97.04,240.44,4,9,19,30,17,13,14,0,13,0
1,3,4,2,8,42,94.81,13.88,18268.21,210,1014.9,1316.03,2,8,91,119,59,18,50,12.5,42,0
17,21,36,16,43,41,42.16,35.93,54431.16,241,3023.95,1514.78,18,34,98,143,45,33,68,18,42,0
12,11,20,10,30,44,46.89,18.91,16764.79,152,931.38,886.6,10,26,52,100,33,24,74,27.87,45,0
18,6,4,2,16,29,49.27,18.53,16907.83,151,939.32,912.7,2,14,57,94,40,26,61,30.95,36,0
6,5,8,4,11,8,17.71,10.67,2014.61,43,111.92,188.87,4,10,16,27,9,12,24,52.94,15,0
4,3,4,2,5,6,17.91,6.29,707.7,27,39.32,112.59,2,5,8,19,7,11,19,57.14,8,0
16,5,8,4,11,20,37.71,30.2,34384.39,205,1910.24,1138.69,4,10,89,116,28,19,54,45.95,30,0
25,15,28,14,46,71,90.85,21.94,43721.41,307,2428.97,1993,14,40,108,199,64,26,142,38.79,77,1
12,19,36,18,47,50,74.62,10.16,7697.18,138,427.62,757.88,18,39,50,88,32,13,63,0,50,0
0,9,10,2,12,9,19.29,6.43,797.14,31,44.29,124,7,9,10,21,7,9,10,0,9,0
10,7,12,6,14,15,22.84,25.89,15315.78,109,850.88,591.46,6,12,41,68,19,24,43,53.13,22,0
9,8,8,4,14,14,12.36,15,2781.99,41,154.56,185.47,4,11,16,25,8,15,33,39.13,18,0
4,3,4,2,5,11,20.51,6.11,765.94,29,42.55,125.34,2,5,10,19,9,11,17,8.33,11,0
134,60,38,16,118,177,101.81,54.82,305928.62,767,16996.03,5580.79,19,79,268,499,110,45,406,34.69,240,0
3,5,8,4,12,15,8.17,18,2648.68,36,147.15,147.15,4,11,15,21,5,12,19,0,15,0
20,21,22,10,44,47,30.99,27.86,24047.21,150,1335.96,863.23,11,33,60,90,28,26,89,30.88,54,0
9,7,12,6,16,20,46.13,14.44,9617.77,122,534.32,666.05,6,14,38,84,25,19,45,42.86,22,0
164,110,128,54,241,361,157.03,97.73,1499684.32,1844,83315.8,15345.64,66,173,711,1133,251,69,764,38.71,398,0
10,13,22,10,23,8,21.3,16.32,5681.26,74,315.63,347.83,11,18,28,46,12,14,36,68,23,0
156,63,116,54,129,85,78.34,51.47,207526.23,589,11529.23,4031.99,58,99,267,322,83,32,330,48.48,138,0
9,17,32,16,34,24,30.54,11.65,4143.37,74,230.19,355.74,16,27,36,38,17,11,34,0,24,0
1,9,16,8,32,35,110.24,10.11,11259.34,191,625.52,1114.08,8,29,95,96,47,10,38,2.78,36,0
40,11,16,8,27,48,71.01,24.77,43561.75,279,2420.1,1758.75,8,23,107,172,54,25,151,44.19,73,0
7,3,4,2,6,6,16.39,3.5,200.76,16,11.15,57.36,2,6,5,11,5,7,19,45.45,10,0
7,3,4,2,7,15,17.24,10.64,1950.69,40,108.37,183.4,2,7,18,22,11,13,30,31.82,15,0
3,3,4,2,6,13,18.1,9.63,1676.34,41,93.13,174.17,2,6,14,27,8,11,17,0,13,0
3,3,4,2,8,21,22.83,23,12075,105,670.83,525,2,8,46,59,16,16,55,36.36,27,0
1,3,4,2,5,9,20.27,9.17,1703.56,43,94.64,185.84,2,5,15,28,9,11,17,40,12,0
14,5,8,4,11,18,31.39,9.47,2815.15,60,156.4,297.25,4,10,23,37,17,14,70,67.27,21,1
3,3,4,2,5,8,17.16,6.19,657.1,25,36.51,106.2,2,5,9,16,8,11,17,38.46,8,0
8,19,32,14,54,47,105.02,18.86,37359.42,318,2075.52,1980.76,16,46,97,221,54,21,69,21.67,53,0
7,7,12,6,15,16,18.87,19.62,7260.95,77,403.39,370.17,6,13,34,43,13,15,65,71.93,27,0
2,7,10,4,19,38,60.5,14.75,13163.37,153,731.3,892.43,5,17,59,94,38,19,79,50,41,0
17,20,14,6,40,63,45.89,35.45,57670.7,262,3203.93,1626.88,7,27,79,183,39,35,86,7.35,68,0
0,11,18,8,20,28,33.22,15.91,8407.11,98,467.06,528.45,9,16,35,63,22,20,38,24.32,30,1
17,21,36,16,53,55,48.89,26.83,35190.17,217,1955.01,1311.63,18,44,88,129,41,25,81,12.7,55,0
1,7,12,6,20,15,20.45,13.07,3491.27,55,193.96,267.19,6,18,28,27,15,14,18,6.25,16,0
9,5,8,4,14,17,29.6,24.29,17460.6,137,970.03,718.97,4,13,60,77,21,17,34,29.17,21,0
13,9,16,8,20,23,30.19,7.85,1858.26,51,103.24,236.84,8,17,17,34,13,12,58,47.73,24,0
1,3,4,2,7,14,28.66,11.47,3771.09,67,209.5,328.76,2,7,30,37,17,13,35,57.58,20,0
9,5,8,4,11,17,36.74,14.57,7799.92,102,433.33,535.29,4,10,36,66,21,17,31,19.05,19,0
13,5,8,4,17,13,22.53,13.93,4371.1,66,242.84,313.82,4,16,30,36,14,13,50,63.89,17,0
25,9,12,6,32,27,50.43,10.62,5682.29,102,315.68,535.29,6,29,46,56,26,12,60,20.59,34,0
9,19,36,18,38,58,30.99,33.52,34816.7,187,1934.26,1038.71,18,30,83,104,26,21,80,17.14,64,1
0,5,6,2,8,9,14.65,4.8,337.48,19,18.75,70.31,3,7,6,13,5,8,10,0,9,0
4,7,10,4,14,24,30.72,19.13,11241.58,107,624.53,587.63,5,12,40,67,23,22,37,25,25,1
6,3,4,2,6,10,16.21,5.4,472.87,23,26.27,87.57,2,6,6,17,5,9,24,41.18,11,0
3,3,4,2,5,11,17.29,12,2489.43,48,138.3,207.45,2,5,16,32,8,12,19,26.67,13,0
10,11,20,10,25,32,21.82,22.85,11393.4,95,632.97,498.55,10,21,37,58,17,21,59,33.33,34,0
1,3,4,2,5,9,14.83,3.5,181.62,15,10.09,51.89,2,5,4,11,4,7,11,0,9,0
81,162,248,118,345,423,131.72,126.56,2109679.46,2027,117204.41,16670.05,124,251,798,1229,227,72,750,36.68,503,0
14,3,4,2,19,41,93.81,15.69,23101.5,241,1283.42,1472.15,2,19,96,145,52,17,63,14.58,41,0
13,7,12,6,16,32,34.91,18.57,12037.08,121,668.73,648.26,6,14,43,78,22,19,73,45.76,35,1
17,23,42,20,46,65,108.84,15.19,25107.55,263,1394.86,1653.06,21,36,109,154,61,17,117,34.34,65,0
9,7,12,6,14,18,24,15.38,5680.1,76,315.56,369.21,6,12,25,51,13,16,46,50,25,0
1,5,8,4,12,12,21.83,10.42,2369.07,51,131.62,227.43,4,11,25,26,12,10,14,0,12,0
19,7,12,6,16,21,31.79,17.86,10140.57,104,563.36,567.78,6,14,47,57,25,19,84,48.78,25,0
5,7,12,6,15,16,24.97,20.38,10375.62,97,576.42,509.05,6,13,33,64,17,21,24,11.11,17,0
22,7,10,4,12,27,28.78,18.12,9456.28,95,525.35,521.73,5,10,29,66,20,25,58,22.86,30,0
9,5,8,4,16,28,36.57,15.24,8490.44,104,471.69,557.19,4,15,32,72,21,20,49,28.21,28,1
6,9,16,8,21,29,27.4,20.78,11829.84,111,657.21,569.35,8,18,44,67,18,17,53,36.96,29,0
30,32,16,4,55,89,54.69,47.6,123914.45,402,6884.14,2603.24,8,33,154,248,55,34,186,42.58,93,1
8,3,4,2,7,13,29.61,9.15,2480.95,57,137.83,271.03,2,7,17,40,13,14,33,45.83,19,0
17,21,38,18,44,61,87.92,17.2,26010.73,253,1445.04,1512.25,19,35,86,167,45,18,93,18.67,67,0
10,3,4,2,7,25,48.82,16.55,13373.72,148,742.98,808,2,7,64,84,29,15,42,19.35,27,0
38,35,58,24,67,104,58.36,41.38,99929.77,372,5551.65,2414.97,29,51,150,222,58,32,218,41.9,109,0
36,13,24,12,30,44,78.96,22.12,38620.28,269,2145.57,1746.31,12,25,115,154,65,25,101,31.25,50,1
34,3,4,2,11,36,37.89,24.18,22153.96,171,1230.78,916.14,2,11,56,115,22,19,113,53.85,47,0
8,5,8,4,12,18,35.6,12.89,5919.2,91,328.84,459.04,4,11,35,56,19,14,57,40,19,0
7,7,12,6,16,25,31.67,15,7125,95,395.83,475,6,14,30,65,16,16,41,24.24,25,0
24,37,52,20,68,69,73.61,37.75,104901.75,422,5827.87,2778.85,26,51,151,271,64,32,112,20.69,69,0
13,7,12,6,23,45,99.18,16.49,26973.57,261,1498.53,1635.63,6,21,94,167,57,20,65,11.76,46,0
0,7,10,4,15,22,41.71,12.75,6780.12,98,376.67,531.77,5,13,39,59,26,17,23,0,22,0
20,7,12,6,12,10,19.23,5.69,622.17,28,34.57,109.39,6,10,13,15,8,7,35,28.57,12,0
7,3,4,2,6,12,14.62,6.43,604.36,23,33.58,94.01,2,6,9,14,7,10,20,0,12,0
2,5,8,4,14,47,55.85,28,43785.9,256,2432.55,1563.78,4,13,112,144,46,23,65,24.19,49,1
27,13,6,2,25,38,32,26.1,21802.25,142,1211.24,835.34,3,17,54,88,30,29,103,49.33,42,0
26,28,28,12,72,154,133.35,38.57,198396.43,695,11022.02,5143.61,14,57,285,410,133,36,320,47.44,174,0
31,21,34,14,46,74,61.92,36.74,83581.43,354,4643.41,2274.9,17,37,124,230,54,32,141,32.11,81,1
2,3,4,2,6,7,16.52,6.19,632.28,25,35.13,102.19,2,6,11,14,8,9,12,22.22,7,0
17,15,28,14,37,29,78.29,48.05,180758.79,565,10042.15,3761.89,14,31,217,348,70,31,81,53.97,57,0
5,19,34,16,61,127,124.12,29.01,104460.67,526,5803.37,3600.73,17,53,220,306,91,24,179,26.59,134,0
3,3,4,2,6,11,14.83,9.63,1373.5,32,76.31,142.7,2,6,11,21,8,14,18,21.43,12,0
4,5,8,4,10,16,13.72,10.56,1531,33,85.06,144.95,4,9,13,20,8,13,22,5.88,17,0
51,25,48,24,96,106,101.31,27.04,74089.87,421,4116.1,2739.78,24,85,192,229,71,20,172,11.67,106,0
23,13,24,12,27,23,27.4,28.12,21659.58,157,1203.31,770.38,12,22,43,114,13,17,74,54,33,0
0,19,16,8,42,60,66.12,13.9,12780.02,155,710,919.26,8,31,57,98,41,20,80,24.05,64,0
1,3,4,2,9,10,22.35,7.27,1181.93,37,65.66,162.52,2,9,16,21,11,10,12,0,10,0
12,5,8,4,18,27,61.85,12.04,8964.95,130,498.05,744.63,4,17,61,69,38,15,79,59.09,27,0
17,29,50,22,55,50,50.79,25.26,32401.84,219,1800.1,1282.9,25,42,89,130,37,21,140,59.02,69,0
77,19,36,18,69,127,208.02,26.3,143936.36,753,7996.46,5471.89,18,61,259,494,128,26,240,21.6,131,0
2,49,90,42,117,128,104.25,54.33,307757.08,790,17097.62,5664.24,45,94,326,464,108,36,233,41.55,161,0
3,6,4,2,30,36,48.31,17.63,15014.65,156,834.15,851.67,2,28,56,100,27,17,55,29.41,38,0
39,13,24,12,33,48,124.44,13.9,24028.83,262,1334.93,1729.18,12,28,107,155,77,20,120,40,52,0
23,9,16,8,21,31,54.55,14.84,12009.6,140,667.2,809.39,8,18,61,79,37,18,74,38,41,0
24,33,60,28,79,93,56.02,48.06,129374.54,407,7187.47,2692.19,30,64,173,234,63,35,186,42.24,106,0
15,13,24,12,39,36,34.37,26.52,24176.72,168,1343.15,911.61,12,34,67,101,24,19,54,5.26,37,0
2,5,8,4,14,21,34.56,8.63,2570.73,62,142.82,298.06,4,13,23,39,16,12,26,8.7,21,0
12,37,60,28,104,130,83,51.6,220979.91,607,12276.66,4282.56,30,86,258,349,95,38,231,40.37,153,1
6,7,10,4,13,21,21.34,24.44,12748.97,98,708.28,521.54,5,11,40,58,18,22,34,22.22,27,0
4,3,4,2,5,8,11.07,4.38,211.89,14,11.77,48.43,2,5,5,9,4,7,11,55.56,8,0
47,15,20,10,50,59,47.3,45.77,99082.56,336,5504.59,2164.83,10,43,136,200,52,35,162,48.25,86,0
17,9,16,8,23,27,42.9,20.7,18381.79,159,1021.21,888.01,8,20,45,114,25,23,72,50,35,0
10,9,16,8,32,31,44.36,16.56,12163.87,141,675.77,734.53,8,29,69,72,25,12,47,13.89,36,0
3,3,4,2,6,15,18.54,9.63,1717.22,42,95.4,178.41,2,6,14,28,8,11,19,0,15,0
1,3,4,2,5,7,8.79,12,1265.83,27,70.32,105.49,2,5,12,15,5,10,9,0,7,0
5,11,18,8,21,18,26.39,12.07,3845.69,67,213.65,318.58,9,17,26,41,14,13,29,21.74,20,0
46,39,70,32,97,91,72.67,51.47,192513.32,568,10695.18,3740.26,35,79,250,318,68,28,254,56.04,111,1
6,9,16,8,24,22,27.26,22.11,13319.21,114,739.96,602.54,8,21,42,72,19,20,61,59.26,32,0
35,21,36,16,64,82,70.59,44.71,141084.24,475,7838.01,3155.83,18,55,190,285,68,32,186,45.33,91,1
1,3,4,2,9,22,36.77,11.48,4842.06,81,269,421.97,2,9,27,54,20,17,36,35.29,22,0
13,17,32,16,59,62,183.65,7.02,9044.12,214,502.45,1288.79,16,52,100,114,57,8,78,3.13,64,0
1,18,12,6,39,52,36.57,23.03,19394.56,142,1077.48,842.16,6,27,58,84,34,27,55,1.89,53,0
0,3,4,2,6,14,36.78,7.07,1838.97,56,102.16,260.06,2,6,18,38,14,11,15,0,14,0
0,7,12,6,14,17,10.6,10.13,1086.54,29,60.36,107.31,6,12,9,20,4,9,18,0,17,0
3,3,4,2,6,9,19.71,5.5,596.3,26,33.13,108.42,2,6,11,15,9,9,15,18.18,9,0
23,13,24,12,27,23,17.45,27.22,12929.85,105,718.32,474.97,12,22,35,70,9,14,74,54,33,0
1,5,8,4,9,11,14.67,14.67,3156.61,49,175.37,215.22,4,8,22,27,9,12,13,0,11,0
4,3,4,2,6,12,23.34,6.11,871.59,33,48.42,142.62,2,6,10,23,9,11,21,25,12,0
6,9,16,8,17,24,32.54,9.5,2936.77,63,163.15,309.13,8,14,19,44,15,15,32,4,25,0
1,3,4,2,5,9,13.38,8.25,910.48,27,50.58,110.36,2,5,9,18,6,11,17,40,12,0
0,5,8,4,12,13,22.4,7.33,1204.38,38,66.91,164.23,4,11,12,26,9,11,16,13.33,15,1
3,3,4,2,5,11,10.9,12,1569.59,32,87.2,130.8,2,5,10,22,5,12,19,26.67,13,0
6,3,4,2,5,9,13.77,13.5,2508.88,43,139.38,185.84,2,5,18,25,8,12,20,30.77,11,0
13,9,16,8,21,25,38.51,14.25,7820.87,107,434.49,548.83,8,18,38,69,20,15,67,52.83,37,0
14,9,16,8,21,28,18.72,21.54,8684.58,83,482.48,403.21,8,18,35,48,13,16,49,17.65,33,0
16,7,12,6,15,25,21.39,22.46,10795.37,97,599.74,480.56,6,13,37,60,14,17,57,37.5,25,0
0,3,4,2,8,19,31.58,9.5,2850,60,158.33,300,2,8,19,41,16,16,26,24,19,0
0,3,4,2,6,13,21.15,3.5,259.02,20,14.39,74.01,2,6,6,14,6,7,14,0,13,0
12,19,36,18,47,50,65.44,11.21,8218.63,136,456.59,733.36,18,39,50,86,29,13,63,0,50,0
