numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,CvsLogEntropy,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
0,1.84703,2,9.09329,0,7,2,1,2,1,2,2,0,1,2,1,0,1.15,2,0,2,1
3,1.49003,3,0.121386,1,9,4,2,1,6,5,2,0,0,0,0,0,1.1,3,22,1,1
2,2.38141,11,9.07779,0,58,4,1,1,6,13,1,0,1,0,1,0,0,2,0,3,1
1,0,1,0,0,2,1,1,0,0,1,0,0,37,1,1,0,0,1,0,0,0
10,15.1266,13,9.61627,16,132,5,1,2,10,44,17,5.21,1,14,0,6.1,0,30,0,4,1
2,3.91697,4,9.15227,0,12,5,1,0,10,5,0,0,3,3,3,0,2.04,4,18,5,1
1,0,4,0,1,15,4,1,0,6,10,1,0,0,0,0,0,0,2,9,3,1
8,14.2973,20,9.5382,7,119,11,1,2,55,70,9,5.12,5,12,3,8.1,2.02,17,9,8,1
16,24.3342,16,9.84848,12,61,7,1,4,21,38,16,4.37,2,20,2,4.08,0,31,0,7,1
4,1.49003,72,0.121386,5,217,34,2,0,561,108,5,0,7,0,7,4.04,0,4,29,25,1
0,1.84703,5,9.09329,0,32,4,2,1,6,8,1,0,0,2,0,0,0,2,17,1,1
1,4.88878,13,9.22338,7,70,6,1,2,15,25,9,0,6,3,6,2.02,1.01,5,9,6,1
2,1.49003,19,0.121386,5,57,20,2,2,190,42,7,0,1,0,1,1.01,0,2,27,19,1
5,8.59652,9,9.32,4,34,7,1,3,21,23,7,1.05,4,5,1,1.01,0,10,0,7,1
4,9.13821,15,9.43975,8,51,5,3,1,10,38,9,3.1,1,6,0,3.03,2.02,9,19,4,1
0,0,1,0,0,3,1,1,0,0,2,0,0,7,0,1,0,0,1,0,1,1
0,0,1,0,0,3,2,2,1,1,3,1,0,0,1,0,1.01,0,1,18,1,1
1,6.45512,41,0.209384,3,101,18,2,0,153,42,3,0,9,3,9,1.02,2.06,4,37,18,1
1,6.86328,25,9.25516,2,134,8,1,1,28,29,3,0,4,5,4,3.03,2.02,6,9,5,1
14,12.4279,28,9.58268,13,225,12,2,0,66,98,13,12.94,13,16,12,12.24,3.08,30,19,5,0
2,6.7028,7,9.24064,4,23,7,1,1,21,15,5,0,2,4,2,0,2.02,6,14,7,1
1,4.37354,11,0.108897,0,17,3,3,0,3,3,0,0,0,0,0,0,2.02,1,76,1,1
6,9.43389,5,9.38337,5,30,3,2,3,3,12,8,5.36,0,6,0,4.07,1.04,12,4,1,1
0,0,21,0,7,63,4,1,5,6,52,12,0,3,1,3,0,0,1,29,3,1
5,1.49003,5,0.121386,3,35,6,1,3,15,15,6,0,2,0,2,2.02,0,5,9,6,1
3,8.1666,3,9.28911,1,9,3,1,0,3,4,1,1.01,0,6,0,1.01,2.02,7,9,3,1
6,14.6179,4,9.49002,2,12,4,2,0,6,6,2,0,0,10,0,0,2.02,16,17,0,1
3,1.49003,16,0.121386,0,48,17,2,4,136,17,4,0,8,0,8,1.01,0,4,20,17,1
1,3.39209,10,9.15904,1,39,10,1,4,45,14,5,1.07,8,3,7,1.01,1.02,5,18,9,1
1,0,6,0,3,57,5,1,0,10,17,3,0,0,1,0,0,0,1,9,0,1
1,7.20108,13,9.29306,5,47,4,3,1,6,22,6,0,1,4,1,3.03,2.02,5,24,3,0
5,4.89334,156,9.24327,22,512,13,1,4,78,285,26,2.07,104,5,103,5.07,3.11,10,51,9,0
0,0,3,0,4,15,2,1,3,1,13,7,0,1,1,1,1.01,0,1,9,1,1
2,10.4928,29,9.40392,3,142,5,2,2,10,54,5,1.01,0,8,0,3.03,2.02,12,17,3,1
5,8.75899,11,9.33613,4,116,6,1,1,15,32,5,3.03,4,8,4,4.04,0,13,0,2,1
5,4.7898,6,9.21441,6,21,5,2,0,10,15,6,2.02,1,6,1,2.02,2.04,12,6,4,1
3,4.81344,8,9.22957,7,30,3,1,0,3,14,7,0,4,5,1,0,0,5,0,3,1
1,1.84703,2,9.09329,0,6,2,1,1,1,2,1,0,1,2,1,0,1.01,2,9,2,1
1,5.9245,3,9.27239,0,9,3,5,3,3,3,3,2.13,2,3,0,8.12,5.26,7,60,2,1
7,12.6094,8,9.44519,3,37,4,1,5,6,19,8,0,14,7,4,2.02,2.02,14,9,2,0
0,0,12,0,4,91,10,1,2,45,29,4,0,6,0,5,0,0,1,0,3,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,0,0,1,9,1,0
2,3.4091,4,9.16273,0,8,4,1,0,6,4,0,0,0,4,0,0,1.01,4,13,4,1
1,3.37801,21,9.16485,9,196,8,1,1,28,44,10,0,5,2,5,2.02,0,7,0,6,0
2,5.25012,10,9.20025,2,55,6,1,2,15,33,4,1.01,1,4,0,0,2.02,5,9,6,1
0,0,21,0,1,79,21,2,1,210,25,2,0,1,0,1,0,2.26,0,54,21,1
5,1.49003,22,0.121386,2,190,14,1,1,91,49,2,3.31,3,0,3,2.02,0,8,0,7,1
1,3.24474,7,9.14866,2,38,6,1,3,15,11,5,0,4,3,3,1.01,2.02,4,9,6,1
4,1.49003,2,0.121386,0,6,2,1,3,1,3,3,0,1,0,0,0,0,4,0,2,1
0,0,1,0,0,3,1,1,0,0,2,0,0,24,0,1,0,0,2,0,1,1
1,0,17,0,0,46,12,1,2,66,12,2,0,6,1,5,0,2.02,1,9,12,1
15,14.923,71,9.63668,9,270,27,1,17,351,147,26,9.47,17,22,9,10.13,0,29,0,13,0
0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,1,0,1,1
3,1.49003,2,0.121386,2,6,2,3,1,1,4,3,0,1,0,1,0,1.1,3,39,2,1
0,0,12,0,3,36,6,1,1,15,18,4,0,3,0,2,0,0,1,0,5,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,1.01,0,1,9,1,1
0,2.57409,83,0.083944,1,255,42,2,0,861,123,1,0,2,1,2,1.01,2.04,2,55,41,1
0,0,9,0,1,32,6,1,1,15,16,2,0,2,0,2,0,0,1,0,4,1
5,12.9897,7,9.47497,2,36,6,1,2,15,16,4,3.11,3,8,1,6.07,0,15,0,5,1
6,10.3831,59,9.43015,31,359,25,1,3,300,249,34,4.29,13,6,13,3.09,2.02,10,10,6,1
4,9.64396,5,9.36684,0,15,5,1,2,10,8,2,2.08,3,6,1,3.03,3.48,10,0,5,1
2,4.15475,6,9.19857,4,74,5,1,1,10,16,5,1.01,3,2,2,1.01,0,8,0,5,0
3,6.25082,87,9.28483,20,480,45,1,16,990,191,35,0,15,5,14,1.01,0,8,0,24,1
1,1.84703,1,9.09329,0,8,1,1,0,0,2,0,0,0,3,0,1.01,2.17,3,0,1,1
1,0,45,0,14,132,18,2,3,153,84,17,0,13,1,10,0,0,1,14,18,0
2,6.94961,7,9.26602,0,21,7,4,22,21,7,22,0,1,5,0,10.12,14.21,7,170,7,1
1,4.58293,0,9.17116,0,0,0,1,0,0,0,0,0,10,2,0,0,2.02,3,9,0,1
2,0,50,0,7,197,38,3,1,703,104,8,0,15,0,15,1.01,0,2,46,34,1
5,8.86608,14,9.30588,2,31,2,1,6,1,15,8,1.02,0,4,0,1.01,0,9,0,2,1
4,5.94514,18,9.22122,1,47,8,1,8,28,15,9,0,4,5,4,4.05,2.04,7,18,8,1
2,8.75899,13,9.33613,4,64,2,1,1,1,20,5,1.01,4,7,0,3.03,2.02,10,9,2,1
7,6.35853,11,9.26124,13,74,9,2,9,36,36,22,4.1,5,9,5,6.1,3.03,14,11,9,1
0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,1,0,1,1
3,7.47213,2,9.3062,1,26,2,1,1,1,7,2,1.06,2,5,1,0,0,7,0,2,1
1,0,3,0,0,8,4,2,1,6,4,1,0,0,0,0,0,0,1,12,4,1
1,0,1,0,0,3,1,1,0,0,2,0,0,29,1,1,0,0,2,0,1,1
4,1.49003,9,0.121386,5,30,4,3,1,6,18,6,0,4,0,4,1.01,1.1,4,43,4,1
9,14.7562,42,9.64364,19,199,14,3,1,91,97,20,7.2,7,15,7,7.07,4.06,24,21,9,0
0,1.84703,5,9.09329,2,27,3,2,3,3,16,5,0,1,2,1,0,0,3,6,3,1
1,1.84703,32,9.09329,10,483,17,1,1,136,98,11,0,5,2,5,1.01,0,3,0,3,1
6,8.13314,15,9.35282,5,60,4,1,2,6,27,7,4.45,2,10,2,5.13,0,16,0,4,1
1,0,1,0,0,3,1,1,2,0,1,2,0,1,1,1,0,0,1,26,1,1
2,4.0537,23,9.19955,9,164,13,3,0,78,64,9,0,7,2,7,0,0,5,14,6,1
1,1.84703,6,9.09329,2,57,3,1,1,3,8,3,0,3,2,3,0,0,2,0,3,1
0,1.84703,10,9.09329,4,34,7,1,0,21,18,4,0,0,1,0,0,1.01,2,10,7,1
7,16.189,5,9.58758,16,59,4,1,0,6,36,16,4.07,1,11,1,4.05,2.02,18,11,4,0
4,8.80568,18,9.31926,1,57,16,1,11,120,18,12,0,7,6,7,6.07,2.04,7,18,16,1
2,2.38141,2,9.07779,11,42,1,1,0,0,22,11,1.03,2,1,2,1.03,0,3,9,1,1
0,0,1,0,1,3,1,3,0,0,2,1,0,0,0,0,0,0,1,14,0,1
1,1.84703,2,9.09329,0,4,2,1,0,1,2,0,0,0,2,0,0,0,2,0,1,1
5,2.38141,20,9.07779,27,96,8,3,3,28,58,30,4.55,3,2,3,6.25,3.3,7,57,3,1
0,4.17741,16,9.19476,5,144,15,1,3,105,41,8,1.01,7,2,6,0,0,6,0,5,0
3,5.39677,83,9.26485,23,238,9,1,16,36,106,39,5.09,4,5,4,2.02,0,12,0,6,0
1,1.53097,4,0.07156,1,11,2,1,0,1,4,1,0,1,2,1,0,1.02,2,18,2,1
0,1.84703,4,9.09329,2,13,3,2,0,3,6,2,0,2,1,2,0,0,2,15,1,1
24,32.6127,25,10.1712,19,170,17,1,2,136,94,20,13.93,7,28,7,13.2,0,59,0,15,1
3,7.42519,3,9.25225,3,10,2,2,2,1,7,5,1.01,1,2,1,4.04,2.02,6,7,1,1
0,0,3,0,1,9,4,2,1,6,5,2,0,0,0,0,0,0,1,22,1,1
5,13.6291,25,9.47343,7,78,8,1,18,28,52,25,4.12,1,9,0,3.09,2.02,18,9,4,1
0,0,24,0,3,78,10,2,1,45,28,4,0,8,1,6,3.03,2.06,2,35,4,1
1,3.4091,8,9.16273,2,64,3,2,0,3,12,2,0,1,3,1,1.01,2.02,3,32,2,1
7,7.39043,48,9.35739,16,194,32,1,57,496,129,69,4.3,1,7,1,12.35,1.01,11,9,32,1
4,7.52371,2,9.27294,1,21,3,1,1,3,9,2,0,0,7,0,1.01,0,8,0,3,1
2,9.63232,3,9.33773,1,12,2,1,1,1,6,1,1.01,2,6,1,0,0,9,0,2,1
3,8.95846,15,9.33124,5,55,4,1,1,6,27,6,2.02,1,6,1,2.02,0,10,0,3,1
1,0,1,0,0,3,1,1,1,0,1,1,0,1,1,1,0,0,1,26,1,1
3,6.73823,4,9.26259,1,23,1,1,0,0,4,1,0,2,5,2,0,0,8,0,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,43,0,1,0,0,1,0,1,1
7,16.2476,10,9.53611,12,78,4,1,2,6,45,14,2.1,4,12,1,4.05,2.02,17,9,4,1
4,5.94514,11,9.22122,1,38,6,3,0,15,10,1,0,3,5,3,1.02,2.08,7,52,6,1
5,14.1427,4,9.51268,1,20,2,1,2,1,8,3,1.02,1,8,1,3.04,0,13,0,1,1
0,0,3,0,3,40,1,1,0,0,5,3,0,4,0,4,0,0,1,0,1,1
2,4.81344,21,9.22957,6,64,7,2,1,21,22,7,1.01,3,4,0,3.09,1.01,4,25,7,1
9,16.6286,22,9.57412,11,110,17,3,0,136,45,11,2.06,4,12,1,2.02,4.09,19,38,11,1
1,1.84703,20,9.09329,3,64,14,1,5,91,22,8,0,4,1,4,0,2.02,2,9,14,1
