numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
1,5.65358,3,0,7,3,1,0,3,3,0,0,0,0,0,0,1.01,1,6,3,1.02,1
1,4.77474,14,4,136,8,1,1,28,44,0,5,0,5,5,0,0,1,0,2,2.15,1
5,11.5775,92,29,482,29,5,2,406,200,2.11,30,5.09,15,15,2.1,4.35,7,75,7,7.32,1
0,6.41569,3,1,20,2,1,0,1,8,0,1,0,0,0,0,0,0,0,2,1.02,1
2,16.1857,5,5,41,5,1,1,10,19,2.02,6,4.1,4,4,2.02,0,2,0,1,4.3,1
1,4.50833,5,0,15,6,1,1,15,6,0,1,0,2,2,1.01,1.01,1,6,5,0,1
2,5.82803,9,8,80,2,1,1,1,38,0,9,2.04,0,0,0,0,4,7,2,3.18,1
8,19.2704,65,13,250,23,1,4,253,140,3.05,17,8.59,5,3,6.07,1.05,9,30,10,10.14,1
3,4.0222,4,1,38,3,1,0,3,9,1.01,1,1.03,1,1,1.01,0,3,0,1,2.08,0
0,3.05459,10,2,55,7,1,2,21,25,0,4,0,3,2,0,0,1,0,2,0,1
1,12.8088,15,4,47,5,2,0,10,25,3.04,4,3.06,0,0,3.04,2.02,2,7,1,3.07,1
2,8.4335,68,6,230,29,1,20,406,129,1.01,26,1.12,5,5,13.15,1.01,3,6,21,4.39,1
2,4.3791,30,5,226,12,1,1,66,53,1.04,6,2.28,13,11,1.04,0,3,0,1,4.14,1
1,9.58809,13,6,44,5,2,0,10,28,1.01,6,3.25,0,0,1.01,2.02,2,7,1,4.38,1
2,8.24327,13,3,152,12,1,1,66,47,1.01,4,1.01,6,5,1.01,1.01,2,6,5,1.01,0
0,1.76682,1,0,3,1,2,0,0,1,0,0,0,0,0,0,5.08,0,20,1,0,1
1,5.98814,0,0,0,1,1,6,0,1,0,6,0,11,0,0,1.01,2,6,1,0,0
5,15.3807,13,3,63,11,1,1,55,35,2.03,4,4.26,3,3,3.03,0,5,0,5,5.39,1
2,10.231,19,5,64,11,4,4,55,32,1.01,9,2.02,4,3,2.02,4.07,2,65,10,3.08,1
1,10.9524,5,6,38,5,2,2,10,15,4.04,8,4.11,3,2,4.05,8.18,1,28,1,4.39,1
4,13.3755,27,9,76,13,1,7,78,50,3.04,16,4.22,4,2,16.2,1.05,4,30,12,5.34,1
0,6.42599,3,2,11,4,8,4,6,7,0,6,0,1,1,2.02,6.13,0,219,4,0,1
0,4.8313,8,1,23,2,1,2,1,7,0,3,0,1,1,1.01,0,0,0,2,1.02,1
3,11.4311,24,9,89,12,3,1,66,44,2.02,10,3.08,3,3,2.02,0,3,19,9,3.11,0
1,4.82617,16,6,67,10,1,1,45,26,0,7,1.04,2,2,0,0,3,6,6,2.23,1
1,6.41247,6,2,19,6,2,6,15,8,1.01,8,1.03,3,3,2.03,3.07,1,24,6,1.06,1
4,17.5389,4,5,24,4,3,0,6,13,3.03,5,4.11,0,0,4.05,3.03,5,32,1,4.2,1
0,6.13795,18,8,122,12,1,1,66,52,0,8,0,6,6,0,0,0,0,10,1.05,1
2,3.03875,34,6,127,9,1,2,36,73,1.01,8,1.44,1,1,1.01,0,2,6,7,1.73,0
4,16.0268,11,4,55,7,2,2,21,25,1.01,6,3.06,1,0,1.01,3.03,5,26,4,5.16,1
3,11.181,56,9,208,26,4,5,325,123,3.03,14,4.13,10,10,5.05,4.11,3,78,24,4.26,1
1,6.25954,4,2,22,4,4,1,6,9,0,3,0,0,0,0,1.01,3,36,2,2.03,1
2,4.91442,9,4,45,7,3,2,21,18,0,6,0,3,2,0,1.01,2,9,4,2.04,1
0,1.56044,8,2,29,8,5,1,28,14,0,3,0,1,0,0,2.04,2,80,7,1.04,1
0,2.98549,10,6,50,6,1,1,15,30,1.01,7,0,8,8,1.01,0,0,0,6,1.08,0
8,15.0607,70,12,313,35,3,10,595,117,3.03,22,6.42,15,13,5.09,1.02,12,14,16,7.16,1
0,3.17095,15,3,50,7,1,1,21,29,0,4,0,2,2,0,0,0,6,5,1.01,1
3,6.08326,21,7,71,5,1,3,10,46,1.04,9,2.08,0,0,1.04,0,3,0,2,2.24,1
6,9.50088,74,15,387,41,1,0,820,165,2.02,15,3.96,15,10,2.02,2.17,6,9,12,7.05,1
10,23.0493,74,15,241,8,1,12,28,142,6.1,26,13.09,0,0,9.15,1.01,10,6,6,14.78,0
3,6.31854,62,8,374,35,1,6,595,110,0,14,0,11,11,0,0,4,0,19,2.09,1
25,35.7287,115,43,440,22,1,3,231,258,13.23,46,26.05,6,6,13.24,0,27,0,2,33.79,0
15,15.7846,73,31,337,28,5,1,378,182,3.06,32,8.46,5,5,2.03,5.37,19,73,11,11.55,1
5,11.0213,42,17,146,8,1,2,28,91,4.09,19,4.47,2,2,4.09,1.01,5,6,4,5.69,1
0,1.76682,4,1,12,4,3,1,6,6,0,2,0,0,0,0,0,1,14,3,0,1
1,2.5349,1,1,5,1,1,0,0,4,0,1,0,0,0,0,1.01,2,6,1,0,1
5,14.1511,32,10,102,7,1,4,21,69,3.06,14,4.14,0,0,5.1,1.01,5,6,4,2.22,1
1,8.70423,29,0,80,7,1,0,21,21,0,0,0,5,3,0,0,1,0,1,0,1
24,18.4647,143,38,613,27,2,1,351,362,8.08,39,16.82,3,3,8.08,4.06,25,32,2,15.48,0
1,1.76682,6,3,19,2,1,0,1,12,0,3,0,0,0,0,0,1,6,2,0,1
0,0,11,2,29,2,2,1,1,16,1.02,3,1.66,0,0,1.04,1.09,0,9,1,2.34,1
0,3.15995,2,2,7,2,6,0,1,5,0,2,0,0,0,0,0,2,20,2,0,1
0,6.41569,3,0,9,2,2,0,1,4,0,0,0,1,1,0,0,0,8,1,0,1
0,5.02919,7,3,34,7,2,1,21,19,0,4,0,2,2,1.01,1.04,1,4,5,1.01,1
13,32.4055,47,16,166,17,4,1,136,91,11.14,17,16.33,4,4,11.14,6.1,20,39,5,19.44,1
4,5.81133,33,2,97,8,1,17,28,40,0,19,3.11,0,0,3.05,0,4,6,8,4.35,1
10,11.6025,126,35,624,40,5,2,780,266,3.06,36,7.13,18,18,3.06,5.37,14,74,9,9.53,1
8,19.4569,113,26,501,35,5,1,595,207,3.03,27,5.58,3,3,3.03,5.37,13,72,10,11.32,1
5,14.1924,50,14,280,16,1,1,120,132,3.09,14,6.85,13,13,4.09,1.01,6,6,3,7.85,0
1,5.87009,34,15,211,17,5,1,136,94,0,16,0,6,6,0,2.04,4,80,11,1.15,1
143,58.1518,0,0,0,0,1,0,0,0,0,0,0,2169,1,0,0,232,0,0,0,0
0,1.76682,13,1,52,5,1,3,10,17,0,4,0,1,1,1.02,0,1,0,3,1.01,1
1,12.2006,19,6,37,3,3,1,3,19,1.04,7,1.1,0,0,1.04,3.03,1,21,1,3.15,1
1,3.20019,9,2,23,4,1,2,6,12,0,4,0,1,1,0,0,1,0,2,0,1
4,10.3932,60,10,172,11,2,1,55,106,0,11,1.12,9,7,0,3.08,5,50,2,4.38,1
0,1.76682,25,3,81,11,1,6,55,42,0,8,0,8,1,0,0,0,6,9,1.02,1
0,0,4,0,17,4,2,1,6,6,0,1,0,0,0,0,0,1,12,3,0,1
0,3.76631,17,8,51,6,3,1,15,35,0,9,0,2,2,0,1.01,0,17,4,0,1
5,5.77253,5,7,37,2,1,6,1,17,2.02,13,3.09,0,0,3.05,0,5,6,2,3.46,1
7,14.5709,14,5,66,3,1,0,3,25,3.03,5,4.08,0,0,4.04,0,8,0,2,4.16,1
4,14.7404,33,12,116,22,3,0,231,61,0,12,5.16,1,1,0,12.22,5,72,8,6.25,0
1,5.82803,3,3,38,2,1,1,1,15,0,4,0,0,0,0,0,2,7,2,2.09,1
3,12.178,28,0,84,28,1,10,378,28,0,10,4.08,14,14,9.17,3.03,4,16,28,4.24,1
0,1.56044,3,2,10,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,0,1
1,1.76682,2,0,30,2,2,0,1,4,0,0,0,0,0,0,2.02,1,7,1,0,1
6,11.8849,12,2,82,11,1,0,55,27,0,2,2.03,8,8,1.01,0,6,0,5,1.04,1
3,16.789,40,17,202,16,5,1,120,100,4.05,18,4.14,9,9,4.05,5.37,4,72,8,4.23,1
0,1.76682,4,2,17,2,1,1,1,5,0,3,0,0,0,0,0,1,0,1,0,1
7,22.6033,68,22,374,28,3,1,378,199,6.18,23,11.85,17,15,9.3,3.04,9,21,8,13.01,1
16,29.2299,167,26,624,75,1,133,2775,315,9.1,151,19.98,10,9,35.76,0,24,4,39,24.59,1
0,5.82803,2,2,27,2,1,1,1,10,0,3,0,0,0,0,0,1,7,2,2.05,1
0,6.41569,3,1,8,2,1,11,1,6,0,12,0,0,0,5.07,1.01,0,6,2,1.08,1
1,7.34429,10,5,27,6,1,1,15,16,3.03,6,2.05,1,1,3.03,0,2,0,2,2.08,1
1,5.02919,9,4,53,5,1,1,10,22,0,5,0,2,2,0,0,2,0,1,1.01,1
6,7.53288,5,1,21,6,1,1,15,11,3.15,2,3.77,5,0,3.16,1.01,7,6,5,5.73,1
1,8.78554,40,2,139,22,1,4,231,66,1.01,6,1.05,7,7,1.01,1.01,1,16,11,1.06,1
0,6.41569,14,6,40,10,1,0,45,20,0,6,0,3,3,0,1.01,0,6,10,1.01,1
2,10.0211,30,14,134,10,1,0,45,80,1.01,14,1.02,0,0,1.01,0,3,0,0,1.01,0
0,7.80551,12,2,33,6,1,5,15,13,0,7,0,5,5,4.05,1.01,0,11,6,0,1
0,0,3,5,25,3,2,1,3,13,0,6,0,0,0,0,0,1,12,2,0,1
6,22.1695,39,11,134,23,1,355,253,72,7.09,362,9.27,10,10,61.58,0,8,0,21,12.88,0
0,1.76682,2,0,10,2,4,0,1,2,0,0,0,0,0,0,3.05,1,32,2,0,1
3,5.38037,80,15,469,40,3,1,780,200,0,16,2.19,13,13,0,1.02,3,21,5,3.81,0
0,11.4216,12,11,36,12,1,1,66,23,6.09,12,6.18,1,1,6.09,7.1,1,17,12,6.27,0
3,9.16954,2,2,8,3,8,3,3,6,0,5,0,1,1,2.02,8.13,3,160,3,0,1
3,8.70673,9,4,26,4,3,1,6,13,1.02,5,2.02,3,3,1.02,4.07,5,25,4,2.05,1
1,9.56428,34,5,107,20,1,1,190,49,0,6,0,8,8,0,0,1,0,18,0,1
4,15.4609,39,10,106,11,3,3,55,60,2.02,12,4.24,1,1,3.03,3.03,5,21,5,6.4,1
0,4.47111,5,1,16,4,3,1,6,9,0,2,0,1,1,0,3.1,1,14,3,0,1
7,18.9709,5,8,27,3,1,1,3,17,4.17,9,4.8,3,2,4.17,0,10,0,2,7.12,1
1,3.18918,107,16,387,16,1,1,120,187,3.03,17,0,11,6,3.03,0,3,7,5,2.12,1
2,10.1212,35,8,132,11,1,4,55,69,6.07,12,2.19,1,1,6.06,1.01,3,6,7,1.45,0
7,17.2555,32,26,153,21,3,1,210,92,1.12,27,5.58,1,1,1.13,12.22,8,72,5,8.24,0
0,4.33338,9,2,27,5,2,2,10,12,0,4,0,0,0,0,0,0,9,5,0,1
0,7.26436,11,1,42,6,2,1,15,17,1.01,2,0,2,1,1.01,3.05,0,18,5,0,1
2,3.82133,8,7,27,3,3,1,3,15,0,8,1.02,0,0,0,2.04,2,17,2,1.03,1
2,9.33423,7,7,49,7,1,2,21,29,1.01,8,1.02,4,4,1.01,0,2,0,6,0,1
0,0,9,6,27,4,3,1,6,12,0,7,0,0,0,0,0,1,21,2,0,1
1,1.77712,9,2,27,9,6,0,36,17,0,2,0,1,1,0,1.01,1,415,9,0,1
0,1.77712,2,1,6,2,3,1,1,3,0,2,0,0,0,0,1.01,0,14,2,0,1
1,9.33201,9,4,28,7,3,0,21,16,2.04,4,3.15,1,1,2.04,5.13,2,33,6,3.25,1
8,19.2402,24,12,113,13,2,1,78,55,5.09,13,8.39,6,5,5.09,8.18,12,29,4,8.11,0
0,5.36088,3,0,9,3,5,3,3,5,1.01,3,0,1,1,1.01,4.11,1,71,3,0,1
4,8.84204,23,5,66,13,1,46,78,40,1.01,50,3.07,5,5,11.17,0,6,6,12,4.21,0
4,10.5179,38,19,116,9,1,5,36,81,3.12,24,6,0,0,6.18,1.01,6,6,9,6.23,1
0,0,57,10,216,4,1,1,6,51,4.07,11,5.27,20,20,4.06,0,0,0,4,8.21,1
2,6.84217,23,2,59,11,1,2,55,27,0,4,1.02,5,5,2.02,1.01,4,6,2,1.06,1
2,6.17907,5,1,13,4,1,4,6,7,1.01,5,0,8,0,1.01,1.01,2,6,4,2.06,1
5,17.0216,57,19,378,19,1,2,171,135,4.09,20,4.24,27,23,4.15,0,7,0,4,8.28,1
0,4.33338,13,2,46,5,1,1,10,13,0,3,0,2,2,0,0,0,0,4,1.01,1
0,7.56276,24,7,91,9,3,7,36,57,5.05,14,2.09,1,1,7.09,4.1,1,44,9,3.27,1
0,1.76682,6,0,18,9,1,5,36,9,0,5,0,3,2,0,0,1,6,9,0,1
2,11.602,3,4,45,3,2,1,3,16,2.03,5,2.08,4,3,2.03,8.18,4,28,1,3.11,1
2,10.2788,29,10,156,15,1,0,105,69,0,10,1.01,6,6,2.02,0,2,0,2,2.12,1
2,7.61847,19,4,92,3,1,0,3,33,1.02,4,1.02,0,0,1.02,1.01,2,6,0,1.01,1
3,10.2527,29,10,149,11,1,9,55,84,1.02,19,3.17,11,0,10.44,1.01,3,6,11,4.45,1
4,5.85726,5,4,18,2,2,1,1,9,0,5,0,1,0,0,0,4,11,2,0,1
12,17.575,9,6,33,7,3,2,21,25,5.3,8,8.23,2,2,6.32,1.07,13,15,4,10.9,1
11,18.208,172,28,724,33,3,2,528,352,3.03,29,6.65,8,4,4.11,3.04,13,22,6,10.25,1
2,8.27328,14,8,53,10,4,4,45,30,2.02,12,3.04,3,3,5.06,4.08,2,63,8,4.19,1
6,16.4861,7,3,53,6,1,2,15,28,4.37,5,7.36,1,0,5.42,0,7,0,1,9.87,1
13,24.0899,83,19,436,33,1,5,528,187,11.21,24,17.36,24,15,11.2,1.01,15,6,8,18.78,0
0,7.72196,5,4,27,5,1,1,10,21,0,5,1.01,6,5,0,0,0,0,4,1.04,1
7,14.3803,44,5,255,19,1,3,171,85,2.02,8,4.41,11,11,3.03,1.01,9,6,6,7.46,1
0,2.56656,3,1,10,2,2,1,1,4,0,2,0,0,0,0,0,0,29,2,0,1
1,3.18664,2,1,6,2,1,1,1,3,0,2,0,0,0,0,0,1,0,1,0,1
0,1.77712,3,2,11,3,9,2,3,6,0,4,0,1,1,0,3.06,0,228,3,0,1
0,0,11,3,46,8,4,1,28,24,0,4,0,2,2,0,0,1,34,6,0,1
4,7.38057,8,1,31,5,1,1,10,15,1.02,2,2.08,0,0,1.02,0,4,6,2,2.28,1
13,17.3217,71,21,270,24,1,0,276,165,4.04,21,10.68,3,2,4.04,0,15,0,8,12.47,0
0,6.41569,41,4,142,20,3,1,190,67,0,4,0,8,8,0,3.04,0,21,8,1.15,1
2,10.9671,10,3,96,7,1,1,21,22,1.02,4,1.06,4,4,1.02,1.01,2,6,3,4.21,0
1,3.18664,4,1,9,2,2,0,1,4,0,1,0,0,0,0,1.01,1,12,1,0,1
0,3.79659,5,2,21,2,3,1,1,11,0,3,0,1,1,0,0,1,16,1,0,1
0,5.05758,5,3,44,2,1,1,1,19,0,4,0,0,0,0,0,3,7,2,2.08,1
1,2.59113,5,1,21,3,1,3,3,11,0,4,0,1,1,0,0,3,6,2,0,1
1,1.84469,25,11,90,5,1,3,10,53,1.01,14,2.03,0,0,1.01,0,4,6,2,1.11,0
0,8.62288,24,7,88,10,2,1,45,43,5.05,8,1.01,2,1,5.05,3.05,0,18,5,2.05,1
1,1.76682,8,1,27,7,1,2,21,8,0,3,0,4,4,0,0,1,6,7,0,1
7,7.28484,79,12,313,25,1,3,300,133,4.05,13,4.59,13,9,4.05,0,9,0,9,5.52,1
2,2.8819,8,4,25,3,3,1,3,11,0,5,0,0,0,0,1.01,2,14,2,0,1
0,4.41258,3,2,10,3,3,1,3,6,0,2,0,1,1,0,1.01,1,54,1,0,1
0,0,42,27,207,11,1,1,55,92,0,28,0,8,4,0,0,1,0,1,0,1
8,18.2366,47,30,118,6,1,1,15,69,13.39,31,15.74,1,1,13.4,1.01,19,6,2,15.21,1
1,6.30121,9,2,26,4,1,1,6,11,0,3,0,1,1,0,0,1,0,4,0,1
1,5.98276,4,0,12,4,1,0,6,4,0,0,0,0,0,0,1.01,1,10,4,0,1
1,7.47927,6,1,32,6,4,12,15,10,0,13,0,0,0,6.1,3.03,1,31,2,1.01,1
0,0,9,3,126,6,1,2,15,17,0,5,0,2,0,0,0,1,6,5,0,1
2,9.94289,38,13,132,17,1,3,136,69,4.05,16,4.1,4,4,6.07,1.01,2,6,10,4.15,0
1,1.76682,2,1,7,2,2,1,1,5,0,2,0,0,0,0,0,1,5,2,0,1
0,0,3,2,10,3,3,1,3,6,0,2,0,1,1,0,0,1,54,1,0,1
5,13.2632,34,21,136,8,1,0,28,92,4.06,21,4.14,4,4,4.06,0,6,0,5,4.27,1
2,8.66479,2,1,6,2,2,1,1,3,1.06,2,2.34,0,0,1.07,1.16,2,5,1,2.51,1
0,3.30831,3,1,9,3,5,3,3,6,0,4,0,1,1,1.01,3.07,0,64,3,0,1
1,2.34667,25,15,106,14,1,3,91,57,1.02,17,2.13,6,6,1.02,0,3,0,3,2.24,1
3,5.7361,16,5,69,6,4,1,15,23,1.01,6,1.04,2,2,1.01,1.01,3,34,2,1.23,1
3,13.8167,5,0,14,3,1,0,3,7,3.06,0,3.15,0,0,3.06,0,3,0,3,4.33,1
0,4.59691,7,3,19,5,3,2,10,9,1.01,5,0,1,0,1.01,3.05,0,30,3,0,1
0,4.68802,12,2,36,7,4,1,21,19,0,3,0,1,0,0,3.05,0,35,3,0,1
6,11.6447,1,0,3,1,1,0,0,1,0,0,0,5,1,0,1.01,6,6,1,0,1
4,13.4531,66,20,188,14,1,0,91,99,3.1,20,4.24,13,13,3.1,1.01,6,6,4,4.44,0
0,1.76682,6,4,39,4,1,3,6,15,0,7,0,2,2,0,0,1,0,4,1.04,1
1,3.19948,11,1,35,5,1,1,10,16,1.01,2,1.07,4,4,1.01,0,1,6,5,2.11,1
2,15.1891,16,14,102,10,2,3,45,58,4.05,17,4.12,6,5,4.05,8.18,3,28,2,4.24,1
3,12.5527,11,7,77,10,5,1,45,39,3.06,8,4.32,1,1,3.07,3.04,4,66,7,3.55,1
0,4.41258,9,4,30,11,4,1,55,18,1.01,5,1.02,1,1,1.02,5.21,1,312,10,1.03,1
2,3.88096,11,3,46,5,1,1,10,16,1.02,4,2.07,2,2,1.02,0,3,0,4,3.27,1
6,20.9156,12,9,41,4,2,1,6,22,3.06,10,4.15,3,2,3.06,8.18,11,28,2,5.28,1
3,4.63681,20,8,78,8,2,1,28,33,1.03,9,2.14,2,2,2.05,0,3,10,6,3.33,1
2,15.1351,9,11,50,2,2,1,1,32,3.04,12,2.14,1,1,3.04,0,2,6,1,2.23,1
3,18.1407,129,44,372,19,1,4,171,170,4.07,48,6.77,2,2,5.08,1.01,8,6,8,8.02,1
19,28.6537,197,42,801,34,3,4,561,419,12.27,43,18.86,14,14,13.28,4.19,24,24,8,23.7,0
1,22.3051,16,12,62,9,3,1,36,53,5.16,13,10.23,2,1,5.16,9.27,4,37,2,12.38,0
4,12.5353,27,8,85,15,2,26,105,44,3.03,34,5.09,1,1,14.23,3.05,5,41,9,5.25,1
1,11.9472,37,10,156,20,2,11,190,82,1.04,21,4.33,6,6,5.12,1.01,3,23,19,5.96,1
0,4.57426,4,1,28,8,1,1,28,16,0,2,0,4,0,0,0,0,6,0,0,1
1,12.4285,4,4,20,3,3,0,3,12,2.07,4,2.14,0,0,3.09,11.41,2,67,2,3.26,0
0,7.72196,3,2,14,3,1,1,3,8,0,3,1.01,2,2,0,0,0,0,3,0,1
1,3.23696,10,5,29,4,3,2,6,16,2.04,7,1.12,0,0,2.04,4.06,1,36,1,2.35,1
1,1.76682,9,2,39,5,1,1,10,12,0,3,0,2,2,0,0,1,0,4,0,1
2,14.2974,8,5,49,6,1,0,15,26,2.03,5,2.02,2,2,1.01,0,3,0,4,3.17,1
0,6.41569,3,0,10,2,1,0,1,4,0,0,0,1,1,0,0,0,0,2,0,1
0,3.19695,48,4,96,16,3,1,120,71,1.01,5,0,5,5,1.01,1.02,0,42,15,1.01,1
8,15.3538,24,8,92,18,7,6,153,43,2.02,14,3.03,5,5,4.05,8.13,8,120,16,3.03,0
0,3.30831,3,1,9,3,5,3,3,5,0,4,0,1,1,1.01,3.07,0,64,3,0,1
2,6.14016,24,11,77,8,2,3,28,54,1.01,14,0,2,2,1.01,0,2,14,4,1.01,1
7,7.25623,38,8,114,7,1,6,21,78,1.02,14,2.23,1,0,2.05,0,7,6,7,4.41,0
0,7.2787,14,2,43,8,3,1,28,23,1.01,3,1.03,3,1,1.01,3.05,0,30,3,2.1,1
2,5.25839,10,9,59,2,1,2,1,27,0,11,1.01,0,0,0,0,4,6,1,2.04,1
7,15.0525,71,25,460,22,3,1,231,183,5.11,26,7.02,10,10,5.11,3.04,8,21,10,8.48,1
0,1.76682,5,2,27,5,1,1,10,13,0,3,0,2,2,0,0,1,0,4,0,1
1,5.95836,20,14,91,12,6,1,66,47,0,15,0,3,0,0,2.04,4,82,8,2.18,1
3,8.96501,11,10,82,7,1,3,21,28,2.02,12,3.05,4,4,2.02,0,5,0,2,4.1,1
3,11.0669,5,5,27,5,2,1,10,17,2.03,6,2.05,3,2,2.03,8.18,4,28,3,1.01,1
0,6.41569,7,0,44,4,1,2,6,10,0,2,0,5,0,0,1.01,0,6,4,1.01,1
1,7.83167,12,1,31,4,1,1,6,15,0,2,1.01,2,2,0,0,1,0,4,1.02,1
1,6.42966,1,0,3,2,2,0,1,2,1.02,0,1.13,0,0,2.03,2.13,1,18,1,1.27,0
3,5.20137,35,11,152,15,1,1,105,65,2.02,12,2.09,5,0,2.02,0,4,0,3,3.1,1
0,1.76682,11,1,45,2,1,2,1,10,0,3,0,0,0,0,0,1,6,2,0,1
0,4.385,27,8,129,8,1,0,28,55,1.01,8,1.01,0,0,1.01,0,3,6,0,1.09,1
5,6.75539,14,2,68,12,1,2,66,22,2.03,4,2.09,7,1,3.04,1.01,7,6,12,2.35,1
0,9.64564,8,2,27,8,5,5,28,17,1.01,7,2.35,1,1,4.04,4.11,1,71,7,3.66,1
0,0,21,9,71,7,4,4,21,53,2.06,12,6.44,2,2,3.07,5.08,0,64,6,7.58,1
2,5.4784,29,9,79,5,1,3,10,47,2.03,12,2.11,0,0,3.04,0,3,6,2,3.18,0
1,14.3708,12,11,163,12,2,1,66,79,3.05,11,4.69,3,2,2.04,8.18,3,28,5,7.96,1
5,6.83071,66,28,407,21,1,1,210,161,3.05,29,1.13,6,2,3.06,0,5,0,2,2.39,1
1,5.88474,5,7,29,2,2,0,1,22,1.01,7,1.07,1,1,1.01,2.02,2,10,1,3.08,1
2,2.71813,16,6,100,3,1,0,3,29,0,6,1.01,4,4,0,0,2,6,1,1.07,1
5,9.06318,41,2,91,8,1,5,28,60,1.01,7,2.32,16,16,3.04,1.01,5,6,3,3.5,1
1,2.91017,6,2,19,4,3,1,6,7,0,3,0,0,0,0,1.01,1,14,3,0,1
1,1.76682,85,12,425,36,1,3,630,153,0,15,0,9,9,0,0,1,0,13,1.4,1
6,16.7735,46,10,152,19,3,5,171,87,6.07,15,7.6,4,4,6.08,4.06,6,76,17,8.17,1
1,1.76682,33,2,84,9,1,3,36,36,0,5,0,2,0,0,0,1,6,4,0,1
2,9.15622,11,14,40,4,3,1,6,31,1.01,15,0,0,0,1.01,1.01,3,17,2,0,1
12,6.85196,97,19,332,31,1,12,465,163,2.02,24,5.28,23,15,3.03,0,13,0,12,5.64,0
1,5.80709,32,17,177,17,5,0,136,81,0,17,0,9,5,0,2.04,4,80,10,1.25,1
2,13.9802,10,7,41,3,2,1,3,24,5.06,8,3.04,1,1,5.06,0,2,6,1,3.03,1
1,5.15731,8,8,41,4,1,1,6,20,0,9,1.01,1,1,0,0,1,0,1,1.01,0
