numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,ck_oo_numberOfAttributes,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
0,2.99495,1,3,9,2,3,1,1,8,4,0,0,0.0053,3.03,0,0,0.010398,12,2,0,1
0,0,9,3,51,3,1,0,3,19,3,0,2.02,0,3.03,0,0.000252,0.010398,9,2,0,1
0,1.43177,4,0,11,4,2,1,6,4,1,1,0,0.001468,4.04,0,0,0.011292,12,4,0,1
1,1.17486,3,2,12,2,1,2,1,8,4,3,1.01,0.003618,2.02,1,0,0.00831,10,2,0,1
0,2.56045,16,5,92,8,2,1,28,34,6,5,0,0.003092,5.08,0,0,0.01379,33,7,0,1
3,3.75035,40,4,139,5,4,2,10,30,6,4,3.03,0.027374,4.04,3,0.005944,0.013377,27,0,3,1
2,3.59553,58,9,276,17,2,1,136,118,10,17,1.02,0.095982,0,2,0.03059,0,13,15,2.03,1
6,16.8048,24,5,73,8,2,4,28,41,9,2,5.08,0.082528,11.3,6,0.006458,0.060079,68,2,3.11,1
0,1.64243,19,2,75,14,1,1,91,24,3,6,0,0.003252,5.07,0,0,0.012574,21,13,0,1
1,2.54818,18,3,66,6,1,2,15,19,5,3,2.02,0.015606,2.02,1,0,0.00831,9,0,0,1
0,0,5,5,26,3,2,1,3,12,6,32,0,0,3.06,0,0,0.010398,15,2,0,1
4,5.74394,31,3,128,13,1,5,78,52,8,4,5.05,0.019391,3.03,4,0.002519,0.010398,9,8,3.82,1
0,3.12296,12,5,71,10,1,0,45,29,5,3,2.02,0.006907,3.03,0,0.00542,0.010398,9,8,0,1
14,11.3676,114,9,467,30,1,13,435,116,22,19,10.16,0.114134,3.03,14,0.005187,0.010398,9,5,15.92,0
3,7.34144,33,8,209,5,2,1,10,95,9,0,2.02,0.096559,11.3,3,0.002373,0.060079,68,1,2.07,1
2,2.26754,1,2,7,2,2,1,1,6,3,0,2.02,0.053596,3.06,2,0.005716,0.010398,15,2,0,1
1,1.33267,1,0,3,1,1,2,0,1,2,0,0,0.005445,4.05,1,0,0.035501,27,1,0,1
1,1.17486,10,4,60,3,1,2,3,22,6,1,1.01,0.003618,2.02,1,0,0.00831,9,2,0,1
2,2.69823,8,4,43,5,3,0,10,13,4,1,0,0.0098,2.04,2,0,0.00831,31,5,0,1
0,2.99495,2,4,12,2,1,1,1,7,5,1,0,0.0053,3.03,0,0,0.010398,10,2,0,1
4,1.36109,4,0,17,4,3,6,6,4,6,1,2.03,0.004892,3.05,4,0,0.007774,30,3,1.03,1
2,2.35699,6,0,21,5,2,4,10,9,4,2,0,0.04406,0,2,0,0,13,5,1.02,1
1,3.66829,1,0,3,1,1,0,0,1,0,0,0,0.056403,7.14,1,0,0.041644,27,1,1.01,1
1,3.2211,26,4,133,6,3,1,15,31,5,8,0,0.005289,3.03,1,0,0.010398,24,5,1.04,1
6,7.7902,37,9,182,12,1,14,66,120,23,6,9.11,0.022085,2.02,6,0.012218,0.00831,9,8,4.34,1
7,10.3263,9,2,24,4,2,1,6,12,3,1,2.02,0.029392,3.03,7,0.00076,0.010398,13,3,3.08,1
4,7.57455,24,16,141,6,2,2,15,68,18,7,5.06,0.124305,3.09,4,0.025383,0.010398,39,5,2.05,1
2,2.41614,4,0,12,6,1,4,15,6,4,2,2.03,0.008613,2.02,2,0,0.00831,9,5,1.02,1
1,0.792859,3,1,16,3,2,1,3,6,2,3,0,0.012267,0,1,0,0,11,3,0,1
2,1.54522,29,7,166,10,2,2,45,52,8,10,0,0.027315,0,2,0,0,15,5,1.01,1
2,2.33696,3,2,12,3,2,1,3,6,3,4,0,0.009107,1.01,2,0,0.005149,13,3,0,1
1,5.5834,2,1,6,5,2,12,10,6,12,0,5.06,0.038094,3.09,1,0,0.010398,39,4,1.03,1
2,2.46006,9,3,38,5,3,2,10,12,5,1,1.01,0.009593,3.06,2,0.00604,0.01129,27,5,0,1
0,4.11562,1,1,4,1,1,1,0,2,2,0,0,0.006748,3.03,0,0,0.010398,9,1,0,1
0,0,102,3,289,18,1,1,153,143,4,5,1.01,0,3.03,0,0.001313,0.010398,9,2,0,1
2,2.6029,7,3,28,2,4,2,1,9,5,0,1.01,0.005742,4.04,2,0,0.013377,27,0,1.03,1
3,7.97841,4,7,32,2,1,1,1,15,8,1,4.05,0.093454,3.03,3,0.025383,0.010398,10,2,2.07,1
2,1.74444,17,10,73,7,2,0,21,41,10,7,1.01,0.005455,1.02,2,0.00273,0.003161,39,6,0,1
3,3.87796,8,4,43,5,3,1,10,13,5,1,0,0.013544,2.04,3,0,0.00831,31,5,0,1
1,2.88097,2,3,9,1,3,0,0,7,3,0,0,0.055174,8.12,1,0,0.027347,29,1,0,1
1,4.48422,18,1,62,6,1,2,15,12,3,0,0,0.066617,3.03,1,0,0.010398,9,6,0,1
1,1.35264,95,4,306,26,1,21,325,76,25,6,0,0.035057,0,1,0,0,9,3,0,1
1,2.81758,2,1,6,3,1,17,3,5,18,0,5.12,0.009597,3.06,1,0.003144,0.010398,18,3,1.06,1
1,0.792859,0,0,0,4,1,2,6,4,2,0,0,0.012267,0,1,0,0,9,2,0,1
2,2.31429,11,3,45,11,2,1,55,29,4,2,0,0.016827,0,2,0,0,24,11,1.15,1
4,8.83948,21,7,144,12,3,4,66,34,11,2,2.02,0.042868,4.1,4,0.001313,0.021972,44,12,2.18,1
1,0.792859,2,2,7,2,1,1,1,4,3,6,0,0.012267,0,1,0,0,9,2,0,1
3,3.6986,5,4,22,3,3,1,3,10,5,1,1.01,0.061516,3.06,3,0.002985,0.01129,24,3,0,1
1,3.28866,3,3,10,3,2,0,3,6,3,0,0,0.007742,2.03,1,0,0.004949,39,2,0,1
1,1.35264,171,1,907,16,2,0,120,138,1,14,0,0.035057,0,1,0,0,35,1,0,1
2,3.6711,36,9,143,13,2,2,78,58,11,7,1.02,0.047325,2.03,2,0.004723,0.008128,21,11,1.02,1
0,1.64243,3,1,7,6,1,41,15,9,42,0,16.22,0.003252,3.03,0,0,0.010398,9,6,0,1
0,0,3,2,8,2,1,2,1,6,4,1,0,0,0,0,0,0,9,0,0,1
0,3.0352,2,0,5,3,1,4,3,3,4,0,2.03,0.005071,3.03,0,0,0.010398,11,3,0,1
5,9.15338,8,3,29,3,1,10,3,12,13,3,6.08,0.020832,3.03,5,0.001077,0.010398,9,3,2.12,0
1,2.88097,2,1,13,3,1,1,3,8,2,6,0,0.055174,3.03,1,0,0.010398,9,3,0,1
0,1.25878,10,4,29,4,3,1,6,12,5,2,2.02,0.001304,5.05,0,0.02301,0.024375,16,4,0,1
0,1.43177,3,0,8,3,1,0,3,3,0,0,0,0.001468,3.03,0,0,0.010398,9,2,0,1
2,4.50164,12,4,37,7,2,0,21,22,4,8,0,0.011252,2.03,2,0,0.004949,39,6,1.03,1
0,0,2,2,6,2,2,0,1,5,2,2,0,0,3.06,0,0,0.010398,15,2,0,1
1,5.59993,2,0,6,4,2,25,6,4,25,1,7.13,0.016668,4.07,1,0,0.013377,13,3,0,1
0,0,2,2,7,2,1,2,1,4,4,2,2.02,0,3.03,0,0.001313,0.010398,10,2,0,1
1,1.35264,141,1,788,13,2,0,78,90,1,11,0,0.035057,0,1,0,0,35,1,0,1
4,5.34192,60,3,182,22,2,13,231,57,16,16,8.16,0.103812,6.12,4,0,0.028459,41,20,4.31,1
1,0.792859,1,0,3,6,1,4,15,6,4,1,0,0.012267,0,1,0,0,9,0,0,1
2,2.6029,8,2,35,5,1,3,10,14,5,7,0,0.005742,3.03,2,0,0.010398,9,0,0,1
1,1.45269,1,0,3,1,1,4,0,1,4,0,2.02,0.003502,5.07,1,0,0.038662,29,1,0,1
3,4.63934,18,10,86,3,1,1,3,46,11,2,1.01,0.088269,2.02,3,0.003733,0.00831,9,3,0,1
8,9.35438,2,4,14,2,2,0,1,10,4,5,0,0.092204,2.03,8,0,0.004949,39,2,5.3,1
1,1.17486,5,1,25,5,1,6,10,10,7,2,1.01,0.003618,2.02,1,0,0.00831,9,5,0,1
16,19.4587,57,7,215,28,2,2,378,84,9,8,3.1,0.101951,14.71,16,0.003332,0.05882,58,19,12.83,0
2,6.26048,30,11,165,18,1,6,153,84,16,7,2.03,0.058524,3.09,2,0.00283,0.010398,39,13,1.01,1
0,0,3,2,16,2,1,6,1,6,8,2,3.05,0,3.03,0,0,0.010398,10,2,0,1
0,1.64243,7,1,28,5,3,1,10,6,2,3,0,0.003252,7.12,0,0,0.030477,44,3,0,1
2,12.0175,33,6,88,8,2,1,28,36,7,8,3.04,0.099012,3.06,2,0.006733,0.010398,15,4,0,1
1,1.17515,10,3,62,6,2,2,15,13,4,7,0,0.006345,1.01,1,0,0.027761,11,4,0,1
1,0.792859,0,0,0,4,1,2,6,4,2,0,0,0.012267,0,1,0,0,9,0,0,1
0,0,3,4,35,3,2,2,3,11,6,7,0,0,0,0,0,0,11,1,0,1
0,3.0742,24,3,79,7,3,1,21,28,4,3,1.01,0.00472,4.04,0,0.003144,0.013377,17,6,0,1
1,4.04167,1,0,1,1,1,0,0,1,0,8,0,0.008389,3.03,1,0,0.010398,9,0,0,1
1,4.24084,1,0,4,1,2,0,0,1,0,1,0,0.056677,3.06,1,0,0.010398,19,1,0,1
1,0.792859,0,0,0,2,1,3,1,2,3,0,0,0.012267,0,1,0,0,9,0,0,1
4,9.64939,32,9,141,11,1,31,55,42,39,14,21.92,0.030807,3.03,4,0.002986,0.010398,9,5,1.39,1
1,1.35264,351,1,2032,18,2,0,153,259,1,19,0,0.035057,0,1,0,0,35,1,0,1
0,0,6,5,35,3,2,0,3,15,5,2,2.02,0,3.06,0,0.005716,0.010398,15,3,0,1
2,2.71012,3,3,15,2,3,1,1,8,4,0,0,0.037571,2.02,2,0,0.017159,16,2,1.01,1
1,1.18716,11,1,42,8,1,1,28,10,2,4,0,0.010376,0,1,0,0,18,8,0,1
0,0,4,3,20,2,3,2,1,8,5,1,0,0,0,0,0,0,16,1,0,1
0,3.6872,2,8,56,2,1,0,1,18,8,0,0,0.008602,2.02,0,0,0.00831,9,1,1.04,1
5,1.91372,6,1,20,6,3,1,15,7,2,2,1.01,0.007017,3.05,5,0,0.007774,30,5,0,1
3,3.67948,8,5,39,2,3,1,1,25,6,2,3.03,0.085133,5.05,3,0.053599,0.024375,16,2,1.07,1
6,11.3053,32,4,107,13,1,14,78,52,18,9,7.09,0.048539,3.03,6,0.001059,0.010398,9,9,6.59,0
1,1.17515,42,0,686,11,1,1,55,36,1,1,0,0.006345,0,1,0,0,9,11,1.23,1
1,0.792859,6,5,31,3,2,1,3,10,6,3,0,0.012267,0,1,0,0,11,2,0,1
3,7.82654,10,4,39,8,1,2,28,23,6,4,2.02,0.072692,3.06,3,0,0.010398,18,6,0,1
5,11.5269,18,8,61,9,3,57,36,30,65,2,23.51,0.08423,3.06,5,0.003144,0.010398,37,8,1.12,1
1,3.09513,17,9,115,5,1,0,10,45,9,6,4.04,0.006754,3.03,1,0.009713,0.010398,9,3,1.01,1
7,8.28731,5,3,13,3,4,1,3,6,4,0,0,0.036242,3.08,7,0,0.019885,54,2,0,1
20,18.3422,66,12,319,14,1,5,91,130,17,11,5.1,0.114049,3.03,20,0.007815,0.010398,9,4,14.96,0
0,2.42975,2,4,14,2,3,1,1,8,5,1,0,0.004481,3.03,0,0,0.010398,12,2,0,1
0,0,22,6,101,7,2,1,21,44,7,8,2.03,0,4.07,0,0.006035,0.013377,21,2,2.39,1
4,6.54006,15,3,63,6,2,3,15,36,6,1,2.02,0.106414,4.07,4,0,0.013377,21,6,3.47,1
0,0,14,8,61,4,1,0,6,27,8,0,2.03,0,3.03,0,0.001717,0.010398,9,1,3.34,1
1,1.05147,9,0,33,6,2,4,15,10,4,2,0,0.008441,0,1,0,0,14,6,0,1
1,4.72472,4,8,23,2,1,1,1,13,9,1,0,0.058312,3.03,1,0,0.010398,10,2,0,1
1,7.59491,10,9,56,3,1,2,3,25,11,1,1.02,0.062713,3.03,1,0.001313,0.010398,10,2,1.06,1
1,0.792859,0,0,0,0,1,0,0,0,0,4,0,0.012267,0,1,0,0,9,0,0,1
0,0,2,2,9,2,2,1,1,4,3,0,0,0,4.04,0,0,0.012964,19,0,0,1
9,10.8724,79,15,427,9,1,2,36,150,17,4,7.12,0.149002,1.01,9,0.041272,0.005149,9,6,8.66,0
2,3.71322,50,6,166,14,2,1,91,63,6,12,3.03,0.036056,4.05,2,0.025699,0.021972,16,9,1.18,0
4,6.46103,5,2,21,2,1,0,1,7,2,0,4.04,0.094887,3.03,4,0.00692,0.010398,9,2,1.06,1
0,0.740259,18,8,154,4,1,0,6,62,8,5,1.01,0.000755,3.03,0,0.00273,0.010398,9,1,0,1
0,1.64243,2,1,6,2,4,18,1,3,19,0,8.15,0.003252,4.06,0,0,0.012366,21,1,0,1
0,0,7,0,29,7,1,4,21,7,4,5,1.03,0,0,0,0,0,9,6,1.23,1
0,1.45008,46,10,214,10,1,12,45,105,20,1,8.2,0.002148,3.03,0,0.016634,0.010398,9,10,4.23,1
2,2.69351,2,2,5,2,1,0,1,5,2,0,1.02,0.007166,2.02,2,0.000853,0.00831,10,2,1.03,1
6,5.96254,75,12,300,30,3,2,435,124,14,7,5.1,0.081737,8.3,6,0.023065,0.052052,78,16,6.34,0
1,2.94062,25,0,90,12,1,33,66,23,33,3,4.07,0.009286,3.03,1,0,0.010398,9,8,1.08,1
0,1.31187,24,3,87,3,1,2,3,23,5,5,0,0.001388,7.14,0,0,0.041644,27,2,0,1
1,1.35264,219,1,1295,14,2,0,91,150,1,14,0,0.035057,0,1,0,0,35,1,0,1
2,2.35699,15,3,63,9,2,2,36,24,5,4,0,0.04406,0,2,0,0,13,9,1.04,1
1,1.18716,61,8,270,13,2,1,78,67,9,5,0,0.010376,0,1,0,0,54,8,0,1
3,6.64038,15,5,57,7,3,2,21,31,7,8,1.01,0.063301,4.04,3,0,0.013377,17,5,0,1
6,11.4214,5,3,21,4,1,7,6,15,10,56,4.1,0.075389,3.03,6,0.004644,0.010398,9,3,2.13,1
1,1.26735,2,0,6,6,1,2,15,8,2,0,0,0.012094,0,1,0,0,9,5,0,1
1,1.28083,1,0,5,1,1,0,0,3,0,0,0,0.003512,2.02,1,0,0.00831,9,1,0,1
2,3.90708,3,0,10,3,1,3,3,3,3,2,0,0.057708,3.06,2,0,0.010398,18,3,0,1
0,0,5,1,14,2,4,2,1,3,3,1,0,0,4.06,0,0,0.012366,21,1,0,1
1,7.62066,59,8,270,9,1,1,36,100,9,3,3.03,0.06327,3.03,1,0.007292,0.010398,9,3,0,1
2,3.4997,32,3,141,8,3,1,28,66,4,10,1.01,0.048758,1.01,2,0.020279,0.01201,16,5,1.13,1
3,5.80413,22,5,74,12,2,1,66,49,6,4,1.01,0.061375,5.06,3,0,0.013302,20,12,2.09,1
7,7.54956,11,8,68,5,2,1,10,42,9,5,4.08,0.02366,5.08,7,0.003737,0.01144,33,3,6.29,1
1,0.60098,7,1,21,7,1,6,21,8,7,4,0,0.003885,0,1,0,0,18,6,0,1
18,23.6331,290,27,1009,73,1,46,2628,345,73,42,20.37,0.13696,3.03,18,0.048602,0.010398,9,42,16.59,0
0,3.22194,3,2,12,3,2,4,3,8,6,0,4.04,0.003488,3.06,0,0.005716,0.010398,15,3,2.09,1
2,2.52346,7,5,35,5,1,2,10,19,7,7,0,0.05517,2.02,2,0,0.00831,9,4,0,0
1,6.17458,23,10,88,3,1,0,3,53,10,4,0,0.013811,3.03,1,0,0.010398,9,1,3.03,1
1,3.9126,11,5,48,8,2,0,28,40,5,4,2.02,0.056379,3.06,1,0.00542,0.010398,30,7,0,1
0,0,5,2,19,2,3,1,1,4,3,2,1.01,0,5.05,0,0.00273,0.024375,16,2,1.01,1
8,11.2928,27,12,132,18,1,37,153,63,48,11,10.13,0.048088,2.02,8,0.007095,0.00831,9,18,8.24,1
1,0.792859,23,5,125,7,2,0,21,37,5,2,1.01,0.012267,0,1,0,0,14,3,0,1
0,2.56045,16,3,86,8,2,1,28,34,4,8,0,0.003092,3.03,0,0,0.008406,24,7,1.01,1
