numberOfNonTrivialBugsFoundUntil:,CvsWEntropy,CvsEntropy,ck_oo_wmc,CvsLogEntropy,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
2,0.053988,4.65956,0,0.116139,1.08,0,0,0,2,0,0,0,0,1.26,76,1.06,1.02,2,12,0,1
1,0,0,2,0,0,2,26,2,1,0,1,18,2,0,0,0,0,1,9,2,1
7,0.225884,14.9282,29,0.356326,8.18,18,122,7,2,2,21,52,19,5.3,8,5.12,2.08,9,24,5,0
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
11,0.661068,19.4467,98,0.507472,14.08,13,248,19,1,4,171,171,16,14.78,1,7.14,6.07,13,15,9,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.009152,2.75305,52,0.091169,0,3,141,11,1,4,55,66,7,0,12,1.01,1.01,1,7,7,1
6,0.071204,6.36008,39,0.183285,3.21,10,107,9,1,1,36,78,10,4.36,2,2.03,0,6,0,9,1
3,0.020035,5.41761,18,0.131371,4.13,5,33,9,3,5,36,18,10,3.12,2,1.05,3.11,3,45,7,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.02046,1.80545,13,0.044952,0,4,56,11,1,0,55,26,4,0,7,0,1.01,1,7,9,1
3,0.044671,5.63536,14,0.133442,0,2,54,8,1,0,28,16,2,0,4,0,6.08,3,26,7,1
1,0,0,2,0,0,4,9,2,1,0,1,8,4,0,0,0,0,1,9,2,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
3,0.028686,1.53632,35,0.12341,0,15,130,9,1,3,36,72,17,0,3,0,0,3,7,3,0
9,1.07722,20.7622,288,0.538207,11.55,45,1434,66,3,1,2145,677,46,14.92,9,9.14,2.09,13,16,54,0
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
3,0.12793,5.67634,38,0.167018,4.07,10,144,23,1,18,253,77,28,4.09,16,6.06,0,4,7,19,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,7,1,1
1,0.035403,4.64163,0,0.117441,0,0,0,1,1,2,0,1,2,0,1,0,3.04,1,19,0,1
4,0.122068,9.84115,15,0.250087,3.12,2,39,12,1,5,66,18,6,3.07,1,3.04,1.01,4,10,12,0
3,0.116713,5.71254,17,0.171902,1.04,8,133,4,1,1,6,48,9,3.13,5,1.01,1.01,3,7,0,0
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
4,0.680116,9.006,26,0.214537,0,7,90,10,1,1,45,33,7,0,13,0,2.05,4,33,5,0
2,0.159366,5.38882,22,0.12658,0,7,76,10,1,1,45,29,7,0,9,0,2.05,2,33,5,0
19,0.479871,21.5348,146,0.566668,16.73,22,596,36,1,3,630,331,23,19.3,16,6.13,1.01,20,7,3,0
5,0.120935,9.83384,17,0.262567,2.04,8,55,14,1,21,91,39,28,2.06,4,5.08,0,5,7,11,0
5,0.041067,3.20728,46,0.087805,1.02,4,160,19,1,5,171,66,9,2.09,16,3.03,2.03,6,18,17,1
13,0.540803,14.3621,91,0.390746,6.35,22,424,29,1,2,406,205,24,7.76,25,5.05,1.05,18,13,7,1
1,0,0,16,0,0,3,45,8,1,4,28,16,7,0,3,0,0,1,11,7,1
0,0,0,8,0,0,6,28,3,1,3,3,26,9,0,0,0,0,0,7,2,1
1,0,0,31,0,0,8,65,14,3,4,91,35,12,0,4,1.01,0,1,47,9,0
2,0.070988,7.71238,29,0.212488,1.04,4,121,7,1,3,21,71,7,3.28,1,2.02,4.04,2,12,5,1
8,0.543131,10.4053,117,0.327027,4.16,19,393,32,1,7,496,196,26,6.36,11,4.05,0,9,7,18,0
4,0.167939,6.60072,31,0.179821,2.02,10,110,16,1,1,120,49,11,2.02,7,1.01,1.01,4,19,5,1
6,0.116132,9.696,29,0.248248,3.21,14,116,8,1,2,28,61,14,5.47,8,4.11,2.03,6,12,6,1
3,0.026373,1.782,13,0.089201,0,2,28,5,1,9,10,11,11,0,3,1.01,0,3,7,5,0
1,0,0,39,0,0,4,145,10,1,1,45,38,5,0,20,0,0,1,7,10,1
2,0.012287,2.23731,4,0.053999,0,2,12,3,1,1,3,7,3,0,0,0,3.05,2,9,3,0
10,0.72654,12.6435,36,0.328829,9.27,5,108,10,1,1,45,55,6,6.34,4,2.03,3.04,12,24,3,1
10,0.184042,11.7006,165,0.305974,3.03,24,610,37,1,2,666,397,26,6.16,38,5.05,1.01,11,9,6,1
5,0.227813,6.31789,30,0.219534,3.05,19,124,13,1,0,78,85,19,3.26,8,4.07,0,5,17,10,0
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
1,0.001059,1.45568,1,0.035206,0,2,4,1,2,0,0,3,2,1.03,0,2.02,5.11,1,38,1,1
1,0,0,2,0,0,4,9,2,1,0,1,8,4,0,0,0,0,1,9,2,1
3,0.141696,7.35911,5,0.171798,1.01,4,13,2,1,0,1,9,4,1.02,1,1.02,2.04,3,7,1,0
7,0.109973,12.8303,23,0.307556,4.12,17,107,6,2,2,15,46,18,4.25,7,4.11,2.08,9,24,6,1
8,0.075157,10.6126,0,0.31044,0,0,0,0,2,0,0,0,0,0,22,0,3.06,8,12,0,0
57,2.67075,36.0219,534,0.993943,37.23,38,1543,64,1,5,2016,1009,39,43.4,32,14.22,2.03,58,17,11,0
4,0.106124,7.69165,36,0.211378,5.21,9,116,14,2,5,91,43,13,5.23,1,7.1,3.03,4,13,9,0
7,0.221717,8.65833,86,0.222256,3.09,16,248,50,1,25,1225,114,38,3.16,20,6.09,0,7,33,47,0
2,0.03215,4.04276,6,0.098951,0,5,23,5,1,2,10,11,7,0,3,0,0,2,7,5,1
4,0.1925,3.68818,49,0.135548,3.12,12,117,7,3,3,21,42,15,3.08,4,0,0,4,45,5,0
1,0,0,6,0,0,4,20,5,1,3,10,16,7,0,3,0,0,1,7,3,0
3,0.037379,6.16292,30,0.158311,1.04,3,66,10,3,1,45,36,4,2.05,4,2.02,2.03,3,29,5,0
1,0,0,66,0,0,4,262,8,1,2,28,101,6,0,0,0,0,1,7,1,1
8,0.308881,15.07,149,0.42891,4.29,29,654,35,1,8,595,220,35,5.39,12,7.12,2.02,11,26,20,0
0,0.036488,6.55322,1,0.147474,0,0,3,1,1,0,0,1,0,1.03,0,0,2.02,0,11,1,1
1,0.009632,5.0342,12,0.142066,1.08,5,25,7,3,4,21,16,9,1.11,2,1.05,2.09,1,45,5,0
5,0.311328,9.68165,72,0.224078,6.35,7,257,18,1,19,153,128,26,4.69,4,9.41,1.01,5,7,11,1
7,0.126347,10.0342,0,0.282877,0,0,0,0,2,0,0,0,0,0,62,0,3.06,7,12,0,0
5,0.301141,7.23456,102,0.208509,4.2,28,367,39,2,2,741,217,29,4.29,19,6.08,0,5,22,29,0
1,0,0,3,0,0,0,12,3,1,0,3,3,0,0,0,0,1.01,1,10,3,0
1,0.033097,2.99799,2,0.067648,0,0,6,2,1,0,1,2,0,0,2,0,1.03,1,18,2,1
1,0,0,17,0,0,6,57,7,1,1,21,21,7,0,5,0,0,1,26,5,1
7,0.124285,6.72772,40,0.226623,3.06,12,134,8,1,1,28,63,12,5.08,4,1.01,1.01,7,7,1,0
1,0.006273,3.38341,19,0.075716,2.06,4,45,8,2,1,28,26,5,2.07,2,2.02,2.02,1,10,5,0
5,0.401919,8.96461,31,0.216101,3.07,5,103,21,1,6,210,49,11,3.22,4,4.08,0,5,0,19,0
1,0.030161,1.11258,3,0.037395,0,6,15,3,1,0,3,14,6,0,0,0,0,1,9,2,1
13,1.0227,17.6953,40,0.532231,5.16,21,208,16,1,2,120,82,21,6.14,16,3.05,1.02,16,15,8,0
4,0.078182,13.0076,40,0.339456,1.02,9,200,11,1,1,55,80,10,2.03,7,1.01,1.01,4,7,3,0
1,0,0,4,0,0,3,13,4,2,2,6,7,4,0,1,0,1.01,1,16,3,1
3,0.095036,7.23232,4,0.16858,0,0,13,4,1,20,6,5,20,0,2,9.11,1.03,3,18,4,0
1,0,0,73,0,0,19,399,17,1,2,136,171,20,0,5,0,0,1,7,2,0
1,0,0,2,0,0,4,8,2,1,0,1,8,4,0,0,0,0,1,9,2,1
2,0.006019,0.816746,5,0.044113,0,5,19,2,3,1,1,9,6,0,0,0,0,2,15,2,1
1,0.003835,1.56389,1,0.034973,0,0,4,1,1,2,0,1,2,0,2,0,1.01,1,7,0,1
2,0.061577,3.47713,21,0.085719,1.07,6,61,11,1,0,55,27,6,1.1,2,1.02,1.03,2,17,11,1
0,0.023337,3.36934,10,0.079924,0,0,30,11,1,1,55,21,1,0,0,2.02,1.01,0,16,11,1
6,0.280545,10.7773,85,0.308028,4.11,17,231,16,2,5,120,138,20,3.11,5,5.07,1.01,6,20,8,0
0,0.046242,6.12239,8,0.171093,0,3,31,8,1,4,28,18,7,1.01,1,0,1.01,0,7,6,0
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
0,0.023337,3.36934,5,0.079924,0,4,13,3,1,0,3,8,4,0,0,1.01,1.01,0,16,1,1
5,0.554407,9.77668,9,0.286879,1.01,3,39,4,1,5,6,10,7,1.01,4,1.01,1.01,5,7,2,0
1,0.088277,1.45568,18,0.035206,0,16,81,12,1,0,66,53,16,0,2,2.02,0,1,17,10,0
4,0.214961,8.82648,3,0.215315,0,0,11,3,1,27,3,3,27,0,13,10.26,2.03,4,15,3,0
1,0.031251,6.81721,10,0.186142,0,5,47,4,1,4,6,17,9,0,3,3.03,1.01,1,7,4,0
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
7,0.429172,10.3796,37,0.30198,4.32,16,188,10,1,1,45,115,17,4.94,3,10.14,1.01,9,8,6,1
3,0.113243,6.44925,3,0.156537,0,0,11,3,1,4,3,3,4,0,6,1.01,2.03,3,15,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
3,0.245985,7.23572,57,0.168448,1.08,4,217,10,1,3,45,55,7,1.06,3,5.06,3.17,3,7,8,0
29,0.588834,25.1033,126,0.683134,12.46,22,456,21,2,10,210,174,28,11.66,3,4.09,8.18,29,91,5,0
14,0.722831,16.8929,109,0.472266,10.34,21,430,29,1,6,406,199,26,13.68,8,5.07,2.08,14,23,11,0
5,0.083285,11.2716,67,0.274125,4.07,14,210,13,1,1,78,107,15,5.17,4,2.02,2.02,5,17,2,0
1,0.027268,2.23731,15,0.053999,0,17,97,4,1,1,6,72,17,0,4,0,0,1,10,4,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
4,0.129787,8.59336,21,0.218639,4.23,10,61,9,1,1,36,36,11,5.34,3,2.04,3.18,4,13,8,0
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
1,0.033604,2.55158,12,0.062895,0,2,69,7,1,1,21,23,3,0,10,1.01,1.01,1,12,7,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
3,0.003928,2.28372,3,0.116063,0,0,10,3,1,2,3,4,2,0,2,0,0,3,19,3,1
5,0.340267,15.226,28,0.394734,8.25,14,200,19,1,14,171,104,28,8.86,2,10.31,1.01,6,7,18,0
3,0.244503,6.22347,39,0.158543,4.35,12,112,12,2,2,66,58,13,4.46,5,3.12,10.24,3,41,5,0
3,0.097112,6.87477,32,0.16624,0,3,130,11,1,26,55,40,29,0,6,8.09,1.01,3,7,10,0
12,0.123923,16.3188,38,0.435704,8.15,2,114,38,1,0,703,74,2,8.3,1,2.02,9.16,13,44,38,0
0,0.004036,1.27192,22,0.031256,0,11,94,10,1,3,45,72,14,0,6,0,0,1,7,8,1
7,0.2172,9.01949,39,0.206164,5.16,9,153,10,2,3,45,34,12,4.12,6,2.04,2.03,7,20,4,1
3,0.127408,5.74218,8,0.133789,1.02,0,30,8,1,21,28,8,21,1.02,12,9.15,1.01,3,7,8,1
6,0.17406,12.9885,58,0.344082,9.27,14,128,13,3,3,78,71,17,7.39,4,6.07,3.05,6,48,10,0
2,0.054942,5.32311,11,0.155851,0,2,49,8,1,10,28,18,12,0,1,2.05,0,2,7,8,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
16,0.270134,16.4888,46,0.45383,6.31,29,221,21,1,1,210,177,30,12.88,0,7.12,4.06,16,19,16,1
4,0.160196,4.84372,0,0.130076,0,0,0,0,2,0,0,0,0,0,138,0,3.06,4,12,0,1
7,1.00427,11.9562,67,0.296961,5.1,10,285,16,1,14,120,65,23,4.09,12,6.09,1.01,8,10,14,0
5,0.237714,11.0202,22,0.341038,4.14,17,103,18,3,2,153,44,18,5.18,1,4.05,8.19,5,111,7,0
2,0.04768,2.8028,36,0.073605,1.01,10,172,20,1,3,190,102,12,1.08,11,2.02,1.01,2,7,12,1
5,0.108434,8.71607,6,0.212541,6.31,1,19,6,2,4,15,11,5,5.4,1,1.04,3.07,5,16,2,1
2,0.060401,7.82058,22,0.245305,0,4,88,6,1,6,15,18,10,0,5,2.02,1.01,2,7,4,0
3,0.104025,4.27148,24,0.108468,2.09,5,86,4,2,1,6,36,6,2.11,0,1.01,1.01,3,14,4,0
1,0,0,2,0,0,4,9,2,1,0,1,8,4,0,0,0,0,1,9,2,1
2,0.133846,2.71633,73,0.064995,1.16,13,294,23,1,1,253,122,14,1.29,24,4.06,2.03,3,12,6,1
3,0.009485,2.28372,5,0.116063,0,1,16,9,1,6,36,16,7,0,0,0,0,3,7,7,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
1,0,0,5,0,0,2,30,2,1,0,1,10,2,0,2,0,0,1,7,2,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
2,0.00937,3.24068,11,0.113162,0,1,37,11,1,3,55,14,3,0,7,0,2.04,2,27,3,0
1,0.018422,1.5526,5,0.037473,0,4,25,4,1,4,6,10,8,0,3,3.03,0,1,7,3,1
1,0,0,54,0,0,20,209,20,2,3,190,108,23,0,10,1.01,0,1,21,16,0
3,0.043017,9.88616,26,0.265308,2.08,5,111,6,1,3,15,39,7,2.14,3,2.04,1.01,3,7,6,0
3,0.052593,5.63536,10,0.133442,1.05,5,54,5,1,1,10,22,6,1.04,3,3.07,4.06,3,27,4,1
1,0.02046,1.80545,26,0.044952,0,2,73,22,1,1,231,28,3,0,11,0,1.01,1,7,14,1
2,0.002931,1.03146,12,0.033728,1.01,4,25,6,2,2,15,16,5,1.02,1,0,2.11,2,27,2,1
1,0,0,6,0,0,1,27,2,1,1,1,15,1,0,0,0,0,1,7,0,1
9,1.32279,16.5442,44,0.440377,9.19,6,130,8,1,2,28,71,7,10.97,2,4.1,1.01,9,7,5,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.02046,1.80545,27,0.044952,1.1,2,95,6,1,3,15,17,5,1.03,3,1.01,1.01,1,7,5,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
3,0.03242,6.16292,10,0.158311,2.05,3,28,7,2,4,21,14,5,3.09,1,2.03,3.05,3,22,7,0
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
3,0.144607,8.89851,22,0.231539,3.15,5,63,9,2,2,36,22,7,2.12,7,3.05,3.04,3,20,4,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
3,0.094226,4.27148,24,0.108468,2.08,4,83,6,1,1,15,35,5,2.11,3,0,1.01,3,10,4,0
0,0.023337,3.36934,3,0.079924,0,0,10,3,1,0,3,3,0,0,1,0,1.01,0,13,2,1
3,0.029296,6.22636,8,0.151156,1.04,5,22,2,2,1,1,15,6,2.06,0,2.02,3.03,3,30,1,1
1,0.023337,3.36934,29,0.079924,0,3,99,5,1,2,10,31,5,0,0,3.03,1.01,1,7,5,1
1,0,0,10,0,0,3,30,8,2,4,28,18,7,0,3,0,0,1,19,5,0
1,0,0,15,0,0,4,56,9,1,1,36,27,4,0,2,0,0,1,14,8,1
2,0.100508,7.01743,37,0.208953,2.06,17,169,10,1,9,45,72,26,2.11,2,4.05,0,3,7,10,0
4,0.157968,4.53581,19,0.133315,1.06,2,94,15,1,2,105,41,4,2.13,2,1.01,0,4,7,7,1
4,0.335622,8.37205,57,0.290368,3.14,16,180,13,1,0,78,101,16,3.19,4,3.03,0,5,14,8,1
3,0.127693,7.55192,4,0.181326,0,0,15,4,1,10,6,4,10,0,10,3.05,2.03,3,15,4,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
3,0.132549,4.27148,9,0.108468,2.12,4,38,4,1,1,6,17,5,2.11,1,0,1.01,3,10,4,0
5,0.137771,11.4018,28,0.302681,4.11,8,63,7,2,2,21,41,9,4.14,1,2.04,2.07,5,13,4,0
1,0,0,2,0,0,2,15,2,1,0,1,10,2,0,0,0,0,1,9,2,1
4,0.0596,8.19537,107,0.219499,1.01,14,403,30,1,2,435,219,16,2.04,20,1.01,1.05,4,35,27,0
5,0.081792,5.80382,36,0.203948,4.27,8,97,20,1,5,190,37,11,4.17,4,1.01,1.01,5,7,4,1
1,0.159571,4.65896,19,0.136297,2.11,11,54,3,2,0,3,27,11,3.09,5,3.05,1.02,2,15,2,0
1,0.037086,2.66716,17,0.066824,0,1,110,6,1,1,15,37,2,1.06,3,1.01,1.01,2,11,6,0
2,0.028671,1.23279,6,0.034027,1.03,8,32,3,1,1,3,16,9,1.07,2,2.05,1.01,2,9,3,1
2,0.045529,4.04276,7,0.098951,0,2,26,7,2,1,21,12,3,0,2,0,0,2,15,6,1
1,0,0,2,0,0,4,11,2,1,0,1,11,4,0,0,0,0,1,9,2,1
4,0.02689,2.6703,56,0.13087,0,26,203,15,1,5,105,99,27,0,26,0,0,4,19,13,0
18,0.131181,16.069,2,0.419616,0,0,6,2,1,8,1,2,8,0,63,5.06,1.01,18,7,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.006296,2.90044,29,0.067994,0,7,108,10,1,7,45,63,14,0,4,2.13,1.03,2,11,5,1
53,1.34951,33.736,251,0.90957,26.63,67,1250,58,1,18,1653,523,77,33.68,45,22.41,2.09,58,17,13,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.002299,1.28035,11,0.0569,0,3,48,6,1,1,15,18,4,0,5,0,1.01,1,10,5,0
5,0.326291,7.90097,65,0.234359,2.34,24,196,19,1,0,171,107,24,2.41,7,4.13,1.09,5,22,15,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
1,0,0,1,0,0,2,4,1,1,0,0,3,2,0,0,0,0,1,8,1,1
1,0,0,4,0,0,5,21,3,1,0,3,18,5,0,0,0,0,1,17,3,1
3,0.049339,5.03827,10,0.122427,1.03,5,73,4,1,1,6,20,6,2.09,3,2.04,2.02,3,10,4,1
3,0.120058,6.42741,6,0.150411,3.36,3,17,5,2,2,10,10,5,4.65,1,3.07,4.21,3,27,1,1
1,0,0,2,0,0,1,7,2,1,0,1,3,1,0,0,0,0,1,9,2,1
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
1,0,0,1,0,0,2,4,1,1,0,0,3,2,0,0,0,0,1,8,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
0,0,0,13,0,0,1,44,7,1,2,21,26,3,0,1,1.01,1.01,0,7,5,0
1,0.054952,5.09157,3,0.119792,2.2,1,8,2,2,2,1,3,3,2.3,0,2.06,4.21,1,27,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
7,0.05769,9.22487,49,0.246306,3.2,11,186,17,2,2,136,60,12,2.17,1,3.03,8.18,7,91,5,0
17,0.697616,15.1537,72,0.425571,8.38,10,244,19,1,8,171,149,18,9.74,35,7.11,1.01,20,7,9,0
2,0.027859,6.22636,3,0.151156,0,5,11,2,2,1,1,8,5,0,0,1.01,3.03,2,30,1,1
2,0.058801,6.79581,38,0.19012,2.23,16,149,21,1,3,210,108,17,2.36,19,4.06,1.04,2,14,18,1
9,0.434833,14.9649,106,0.43534,4.19,30,332,40,2,9,780,206,37,5.36,16,4.1,0,10,30,34,0
1,0.082337,4.35837,9,0.102749,0,2,28,10,1,0,45,19,2,0,1,0,1.01,1,25,9,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.060191,1.69869,1,0.048943,0,1,3,1,1,0,0,2,1,0,0,0,0,1,7,1,1
1,0,0,40,0,0,9,142,20,2,5,190,57,14,0,9,0,0,1,25,11,0
2,0.024081,5.57623,14,0.134134,1.02,7,55,4,1,0,6,30,7,2.06,8,4.04,1.01,2,9,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0,0,2,0,0,4,8,2,1,0,1,8,4,0,0,0,0,1,9,2,1
14,0.35029,12.9001,69,0.327427,4.22,20,318,14,1,4,91,120,23,4.55,6,5.14,1.01,14,12,5,1
3,0.065685,5.55183,41,0.165368,1.05,9,143,9,1,2,36,66,10,2.08,11,1.01,1.01,3,7,5,0
5,0.037804,6.46017,10,0.156226,3.18,2,31,5,2,1,10,9,2,3.19,1,1.01,3.05,5,22,4,0
4,0.501074,7.60794,115,0.176179,1.02,11,492,25,1,3,300,172,14,2.14,25,6.08,1.01,5,7,7,1
20,0.417263,18.2652,119,0.488007,12.92,33,501,30,1,1,435,341,34,17.54,2,8.22,1.01,22,7,2,0
4,0.114107,5.15419,2,0.1318,1.01,0,4,2,1,8,1,3,8,1.01,0,8.08,1.01,4,7,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.023337,3.36934,4,0.079924,0,0,15,4,1,1,6,4,1,0,6,0,2.03,1,15,4,1
3,0.115987,10.8639,18,0.280953,3.13,9,48,2,1,2,1,28,10,2.14,3,2.03,1.01,4,7,2,1
3,0.113254,8.29275,4,0.198537,1.02,0,14,4,1,1,6,5,1,1.03,3,3.03,1.03,3,18,4,0
2,0.098512,4.04276,82,0.098951,0,6,285,22,1,7,231,70,13,0,5,0,0,2,7,17,1
1,0.02046,1.80545,20,0.044952,0,2,64,20,1,2,190,24,3,0,11,0,1.01,1,7,20,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
2,0.096216,2.71633,26,0.064995,1.05,5,92,8,1,4,28,46,9,1.08,21,2.02,1.01,3,7,7,1
4,0.102978,8.36608,35,0.219957,6.28,3,90,14,2,7,91,43,10,7.33,12,2.04,5.07,4,22,10,0
3,0.155495,5.09245,44,0.164635,2.08,11,140,17,1,2,136,69,13,4.25,10,4.08,3.04,5,19,13,0
1,0.01268,1.05668,0,0.030079,0,0,0,0,1,0,0,0,0,0,25,0,0,1,7,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.016766,2.23731,15,0.053999,0,9,47,6,1,1,15,23,10,0,4,0,0,1,10,5,1
1,0.053039,3.20237,9,0.091181,1.02,2,44,4,1,1,6,14,3,1.04,2,1.01,2.02,2,10,4,1
2,0.043509,3.74492,28,0.096513,1.01,17,138,14,2,1,91,58,17,1.04,1,1.02,1.01,3,80,9,0
2,0.023718,0.894814,0,0.044072,0,0,0,0,2,0,0,0,0,0,17,0,0,2,12,0,1
27,1.77892,15.3228,410,0.503466,13.44,37,1805,64,1,3,2016,836,40,15.75,111,3.03,0,29,7,3,0
2,0.033409,4.04276,7,0.098951,0,1,24,5,1,6,10,8,7,0,3,1.01,0,2,7,5,1
1,0.02046,1.80545,3,0.044952,0,1,9,3,1,3,3,4,4,0,1,0,4.05,1,21,3,1
2,0.043797,4.04276,13,0.098951,0,3,37,7,2,1,21,23,4,0,2,0,1.01,2,20,7,0
3,0.826728,13.1284,304,0.34585,5.36,14,1003,29,1,4,406,249,18,8.38,15,6.06,2.02,5,12,7,0
4,0.579979,11.5097,64,0.315998,2.08,16,289,19,1,1,171,137,16,3.25,10,1.01,1.01,4,14,10,1
2,0.042537,4.04276,9,0.098951,0,3,32,7,2,1,21,14,3,0,2,0,0,2,15,7,1
